player,birthday,yrs,from,to,pos
Jim Oldham,1903-06-04,1,1926,1926,E-B
Aaron Oliker,1903-12-05,1,1926,1926,E
Bill Owen,1903-09-29,11,1926,1936,T-G
George Pease,1903-06-18,1,1929,1929,BB-TB
Vic Radzievitch,1903-06-08,1,1926,1926,B-G-FB
Sam Salemi,1903-08-07,1,1928,1928,WB
Pete Schaffnit,1903-06-29,1,1926,1926,B
Skippy Scheib,1903-07-28,1,1930,1930,C
Arnie Shockley,1903-08-31,1,1929,1929,T
Frank Sillin,1903-05-15,4,1921,1929,B
Jim Simmons,1903-04-03,2,1927,1928,B
Howie Slater,1903-03-09,1,1926,1926,FB
Elmer Slough,1903-07-19,1,1926,1926,TB-BB-WB
Ray Stephens,1903-06-04,1,1927,1927,C-G
Gene Stringer,1903-05-29,1,1925,1925,B
Ray Suess,1903-08-08,2,1926,1927,G-T-E
Jack Triggs,1903-01-11,1,1926,1926,FB
Harp Vaughan,1903-11-19,2,1933,1934,B
Norton Vedder,1903-10-15,NA,NA,NA,FB
Chile Walsh,1903-02-04,NA,NA,NA,Coach
Pete Wathen,1903-05-15,1,1922,1922,E-BB
Ed Weir,1903-03-14,3,1926,1928,T-E/Coach
Cy Williams,1903-10-12,3,1929,1932,T
Joe Wostoupal,1903-08-10,4,1926,1930,C
Doug Wycoff,1903-09-16,6,1927,1934,B/Coach
Jim Yeager,1903-09-21,1,1926,1926,T-G
Lloyd Young,1903-05-27,5,1925,1930,G-C-T-E
Sky August,1904-08-05,1,1931,1931,TB-WB
Carl Bacchus,1904-07-31,2,1927,1928,E
Ben Barber,1904-11-13,1,1925,1925,T-G
Ed Berwick,1904-05-10,1,1926,1926,C-E
Homer Bliss,1904-08-16,1,1928,1928,G
Jim Bowdoin,1904-01-15,7,1928,1934,G
Phil Brennan,1904-07-15,1,1930,1930,E
Chris Cagle,1904-05-01,5,1930,1934,B
Glenn Campbell,1904-04-20,6,1929,1935,E
Bill Capps,1904-06-23,2,1929,1930,T-G
Zuck Carlson,1904-11-12,8,1929,1936,G-T-C-LB
Charley Carr,1904-01-21,1,1926,1926,B
Algy Clark,1904-05-07,5,1930,1934,B/Coach
James Clark,1904-08-18,2,1933,1934,B
Alex Clement,1904-02-11,1,1925,1925,WB
Jack Corcoran,1904-06-13,1,1930,1930,C-G
John Demmy,1904-03-05,2,1930,1931,T
Ebby DeWeese,1904-09-07,3,1927,1930,G-BB
Jack Donahue,1904-12-30,1,1926,1926,G-T
Bob Dunn,1904-11-26,1,1929,1929,C-T
Byron Eby,1904-12-11,1,1930,1930,B
Dick Egan,1904-02-02,1,1924,1924,G
Fred Failing,1904-06-07,1,1930,1930,G
Willie Flattery,1904-02-04,2,1925,1926,G-E
Adrian Ford,1904-01-01,1,1927,1927,B
Paul Frank,1904-06-12,1,1930,1930,B
Butch Gibson,1904-08-07,5,1930,1934,G-T
Aubrey Goodman,1904-02-18,1,1927,1927,T
Donn Greenshields,1904-05-01,2,1932,1933,T
Charlie Grube,1904-06-11,1,1926,1926,E
Richard Hardy,1904-07-25,1,1926,1926,T
Tom Hearden,1904-09-08,3,1927,1929,HB
Hoot Herrin,1904-11-24,1,1931,1931,C-G
Chuck Hill,1904-07-13,1,1925,1925,FB-WB-E
Don Hill,1904-09-18,1,1929,1929,TB-WB-HB-C
Kid Hill,1904-05-06,1,1926,1926,T
Fred Hobscheid,1904-04-20,1,1926,1926,T-G
Murrell Hogue,1904-08-13,3,1928,1930,G-T
Bill Howell,1904-04-21,1,1929,1929,E
Larry Jackson,1904-11-24,1,1926,1926,C-TB
Lou Jennings,1904-01-12,2,1929,1930,E-C
Leon Johnson,1904-02-12,1,1929,1929,E
Bruce Jones,1904-08-30,6,1927,1934,G
Cy Kahl,1904-11-29,2,1930,1931,B
Ike Kakela,1904-05-09,1,1930,1930,C-G
Matt Kelsh,1904-10-04,1,1930,1930,E
Graham Kernwein,1904-10-23,1,1926,1926,TB-HB
Frank Kirkleski,1904-05-19,4,1927,1931,B
Lou Koplow,1904-02-01,1,1926,1926,T
Stan Kuick,1904-04-24,1,1926,1926,G
Tom Leary,1904-04-15,4,1927,1931,E
Franklin Lewis,1904-01-18,1,1931,1931,FB
Jack Lord,1904-09-23,1,1929,1929,G-T
Al Maglisceau,1904-05-21,1,1929,1929,T
Bob Mahan,1904-02-06,2,1929,1930,B-E
Lou Mahrt,1904-07-30,2,1926,1927,QB/Coach
Tony Manfreda,1904-02-19,1,1930,1930,HB
Jimmy Manion,1904-09-20,2,1926,1927,G
Carl Mankat,1904-01-13,2,1928,1929,E-T-G
Arthur Matsu,1904-04-30,1,1928,1928,B
Joey Maxwell,1904-11-05,3,1927,1929,C-E
Nat McCombs,1904-12-18,2,1926,1929,G-T
Ed McCrillis,1904-09-07,2,1926,1929,G
Frank McGrath,1904-03-13,2,1927,1928,E
Lou Metzger,1904-02-13,1,1926,1926,FB-WB
Ernie Meyer,1904-06-23,1,1930,1930,G
Al Miller,1904-03-17,1,1929,1929,WB-HB-FB-BB
Lou Molinet,1904-11-30,1,1927,1927,FB
Jim Murphy,1904-11-03,2,1926,1928,B-E-C
Jock Murray,1904-02-19,1,1926,1926,E-G
Mickey Murtagh,1904-04-08,7,1926,1932,C-G-E-B
Harry Myles,1904-09-01,2,1929,1930,E-T-G
John Nichols,1904-07-30,1,1926,1926,G-T
Harry O'Boyle,1904-11-03,3,1928,1933,B
Lowell Otte,1904-07-20,1,1927,1927,E
Oran Pape,1904-03-10,3,1930,1932,B
Frank Pauly,1904-01-24,1,1930,1930,T
Gordon Peery,1904-01-12,1,1927,1927,BB
Frosty Peters,1904-04-22,3,1930,1932,B
Dick Powell,1904-05-21,2,1932,1933,E
Pid Purdy,1904-06-15,2,1926,1927,BB
Gene Rose,1904-07-11,4,1929,1932,B
Roy Scholl,1904-09-15,1,1929,1929,G
Jim Schuber,1904-06-23,1,1930,1930,HB
Ed Seibert,1904-01-07,2,1927,1928,T-G
Frank Seyboth,1904-04-05,1,1926,1926,WB
Ted Shipkey,1904-09-23,NA,NA,NA,Coach
Stan Sieracki,1904-04-29,1,1926,1926,T
Clyde Smith,1904-07-17,4,1925,1928,C
Red Smith,1904-05-18,5,1927,1931,TB-WB-BB-G-FB
Bill Stephens,1904-07-28,1,1926,1926,C
Red Strader,1904-12-21,NA,NA,NA,Coach
Aubrey Strosnider,1904-04-09,1,1928,1928,T
Dick Sturtridge,1904-03-08,2,1928,1929,HB
Al Swain,1904-09-05,1,1926,1926,E
George Tully,1904-03-12,1,1927,1927,E
John Wallace,1904-09-02,2,1928,1929,E
Chuck Weimer,1904-09-05,3,1929,1931,B
Gibby Welch,1904-12-24,2,1928,1929,B
Rabbit Weller,1904-03-02,1,1933,1933,WB
Cy Wentworth,1904-01-02,3,1925,1929,B
Bill Wexler,1904-12-25,1,1930,1930,C
Ossie Wiberg,1904-10-11,5,1927,1933,B
Ned Wilcox,1904-02-07,2,1926,1927,B
Don Yeisley,1904-01-21,1,1928,1928,E
Gene Alford,1905-04-03,4,1931,1934,WB-DB-BB-FB
Walt Ambrose,1905-08-07,1,1930,1930,G
Teddy Andrulewicz,1905-01-01,1,1930,1930,WB
Julie Archoska,1905-03-13,1,1930,1930,E
Cliff Ashburn,1905-11-21,1,1929,1929,G-T-E
Bob Barrabee,1905-01-23,1,1931,1931,E
Dan Bernoske,1905-07-20,1,1926,1926,G
Larry Bettencourt,1905-09-22,1,1933,1933,C
Nick Borelli,1905-03-02,1,1930,1930,B
Hal Bradley,1905-09-27,1,1928,1928,G
Frank Briante,1905-03-05,2,1929,1930,B
Hal Broda,1905-07-27,1,1927,1927,E
Fred Brown,1905-08-29,1,1930,1930,G
Justin Brumbaugh,1905-03-02,1,1931,1931,BB-TB
John Bunyan,1905-09-07,3,1929,1932,G-C
Ray Bush,1905-04-11,1,1926,1926,E
Koester Christensen,1905-04-28,1,1930,1930,E
Jack Colahan,1905-02-05,1,1928,1928,T
Babe Connaughton,1905-06-06,1,1927,1927,G
Clyde Crabtree,1905-11-03,1,1930,1930,B
Hank Critchfield,1905-06-14,1,1931,1931,C
Fritz Cronin,1905-06-20,1,1927,1927,E-G
David Cullen,1905-03-18,1,1931,1931,G
Ernie Cuneo,1905-05-27,2,1929,1930,G
Cookie Cunningham,1905-02-04,3,1927,1931,E
Charlie Diehl,1905-01-13,3,1930,1934,G-T
Jap Douds,1905-04-21,5,1930,1934,T-G-C/Coach
Ed Doyle,1905-07-05,1,1927,1927,G
Bob Dwyer,1905-08-30,1,1929,1929,WB
Bill Edwards,1905-06-21,NA,NA,NA,Coach
Mickey Erickson,1905-05-16,3,1930,1932,C
Jack Evans,1905-08-05,1,1929,1929,BB
Nick Farina,1905-02-21,1,1927,1927,C
Mack Flenniken,1905-01-24,2,1930,1931,B
Ike Frankian,1905-04-03,3,1933,1935,E
Benny Friedman,1905-03-18,8,1927,1934,TB-DB/Coach
Ted Fulton,1905-11-05,2,1931,1932,G
Frank Gause,1905-02-11,1,1929,1929,C-G
Mike Getto,1905-09-18,NA,NA,NA,Coach
George Gibson,1905-10-02,1,1930,1930,G/Coach
Bob Gillson,1905-05-04,2,1930,1931,G
Al Graham,1905-09-29,9,1925,1933,G
Mike Gregory,1905-07-30,1,1931,1931,C
Frank Grube,1905-01-07,1,1928,1928,E
Horse Hagerty,1905-04-16,1,1930,1930,FB-TB
Ed Halicki,1905-12-23,2,1929,1930,B
Hal Hanson,1905-08-10,3,1928,1930,G
George Hastings,1905-09-21,2,1930,1931,T
Perry Jackson,1905-04-24,3,1928,1930,T-E
Ernie Jessen,1905-05-01,1,1931,1931,T
Herb Joesting,1905-04-17,4,1929,1932,FB/Coach
Luke Johnsos,1905-12-09,8,1929,1936,E/Coach
Red Joseph,1905-11-07,3,1927,1931,E
John Kauffman,1905-11-27,1,1929,1929,T-G
Wild Bill Kelly,1905-06-24,4,1927,1930,B
Red Kirkman,1905-10-17,3,1933,1935,B
Joe Kopcha,1905-12-23,6,1929,1936,G
Tony Kostos,1905-06-12,5,1927,1931,E-C-G-T
Jerry Krysl,1905-01-26,1,1927,1927,T
Buck Lamme,1905-07-02,1,1931,1931,E
Oxie Lane,1905-01-02,1,1926,1926,T
Ed Lawrence,1905-07-14,2,1929,1930,B
John Law,1905-02-13,1,1930,1930,T
Joe Lillard,1905-06-15,2,1932,1933,TB-HB
Slick Lollar,1905-10-04,1,1928,1928,B
John Lott,1905-01-17,2,1929,1930,T
LaDue Lurth,1905-02-23,1,1929,1929,HB
Ralph Maillard,1905-10-10,1,1929,1929,T
Harry Malcolm,1905-11-25,1,1929,1929,T-G
Joe McLain,1905-04-05,1,1928,1928,T
Felix McCormick,1905-05-21,2,1929,1930,FB-G-HB
Herdis McCrary,1905-06-09,5,1929,1933,B
Harry McGee,1905-04-27,4,1927,1932,C-G
Chief McLain,1905-04-16,2,1930,1931,FB-HB
Russ McLeod,1905-02-04,1,1934,1934,C
Butch Meeker,1905-03-19,2,1930,1931,B
Saul Mielziner,1905-06-01,6,1929,1934,C-G-T-LB
Dave Mishel,1905-07-06,2,1927,1931,B
Ted Mitchell,1905-08-04,2,1929,1930,C
Bo Molenda,1905-02-20,9,1927,1935,FB-BB-HB
Keith Molesworth,1905-10-20,7,1931,1937,HB-QB/Coach
Bucky Moore,1905-05-05,2,1932,1933,DB-HB-WB
Denny Myers,1905-11-10,1,1931,1931,G
Tom Nash,1905-11-22,7,1928,1934,E
Charlie Nesser,1905-03-17,1,1921,1921,B
Marty Norton,1905-03-17,3,1922,1925,B
Ray Norton,1905-03-14,1,1925,1925,WB
Arnie Oehlrich,1905-11-24,2,1928,1929,WB-BB
Charlie Olmstead,1905-03-14,2,1922,1923,G
Bert Pearson,1905-03-22,8,1929,1936,C-G
Russ Peterson,1905-08-25,1,1932,1932,TB
Earl Plank,1905-07-28,3,1926,1930,E
Bill Potts,1905-03-24,1,1934,1934,HB
Glenn Presnell,1905-07-28,6,1931,1936,B
Ken Provencial,1905-03-22,1,1930,1930,E
Herb Rapp,1905-07-21,2,1930,1931,C
Paul Rebsamen,1905-01-29,1,1927,1927,C
Lou Reichel,1905-03-16,1,1926,1926,C
Pete Richards,1905-05-13,1,1927,1927,C
Don Ridler,1905-03-21,1,1931,1931,T
Riley,1905-03-16,1,1924,1924,G
Johnny Roepke,1905-12-28,1,1928,1928,TB-WB
Al Rose,1905-01-26,7,1930,1936,E
Reb Russell,1905-05-31,1,1933,1933,B
Bill Ryan,1905-03-15,2,1924,1925,T
Cassy Ryan,1905-05-10,1,1929,1929,BB-WB
Sod Ryan,1905-12-31,2,1929,1930,T
Andy Salata,1905-09-30,2,1929,1930,G/Coach
Len Sedbrook,1905-01-13,4,1928,1931,B
Bill Senn,1905-07-14,8,1926,1934,B
Ronald Shearer,1905-09-12,1,1930,1930,T
Dave Skudin,1905-01-21,1,1929,1929,G-E
Gene Smith,1905-09-25,1,1930,1930,G
Orland Smith,1905-11-05,3,1927,1929,T-G
Snitz Snyder,1905-08-06,2,1929,1930,B
Sammy Stein,1905-04-01,4,1929,1932,E-T
Paul Suchy,1905-03-28,1,1925,1925,E
Johnny Thompson,1905-10-24,1,1929,1929,G
Herb Titmas,1905-12-14,1,1931,1931,BB
Thurston Towle,1905-01-01,1,1929,1929,E
George Tuttle,1905-01-14,1,1927,1927,E
Joe Vance,1905-09-16,1,1931,1931,WB-FB
John Wager,1905-04-28,3,1931,1933,C-G-T
Buck Weaver,1905-11-01,1,1930,1930,G
Joe Weir,1905-08-26,1,1927,1927,E
Mule Werwaiss,1905-02-15,1,1926,1926,T-G
Jake Williams,1905-08-28,5,1929,1933,T-E-G-C
Drip Wilson,1905-03-17,1,1931,1931,C
George Wilson,1905-07-18,1,1929,1929,B
Lee Wilson,1905-07-24,3,1929,1931,E-WB
Jim Woodruff,1905-03-17,2,1926,1929,E
Joe Work,1905-03-13,3,1923,1925,E-WB
Sam Young,1905-02-11,1,1927,1927,HB
Henry Zehrer,1905-12-20,1,1926,1926,FB-WB
Merle Zuver,1905-01-25,1,1930,1930,G-C
Herb Bauer,1906-10-13,1,1925,1925,E
Jim Bausch,1906-03-29,1,1933,1933,HB
Bunny Belden,1906-10-08,3,1927,1931,B
Mil Berner,1906-07-08,1,1933,1933,C
Herb Bizer,1906-08-03,1,1929,1929,E-FB
Mal Bleecker,1906-10-06,1,1930,1930,G-C
George Bogue,1906-02-10,1,1930,1930,FB
Pat Boland,1906-10-12,NA,NA,NA,Coach
Eddie Bollinger,1906-07-09,1,1930,1930,T
Peter Bove,1906-09-21,1,1930,1930,G
John Brewer,1906-04-06,1,1929,1929,TB-WB
Marty Brill,1906-03-13,NA,NA,NA,Coach
Marion Broadstone,1906-06-24,1,1931,1931,T-G
Carl Brumbaugh,1906-09-22,8,1930,1938,B
Bruce Caldwell,1906-02-08,1,1928,1928,TB-FB
Roy Carlson,1906-05-08,2,1928,1929,E-G
Jack Chevigny,1906-08-14,NA,NA,NA,Coach
Stu Clancy,1906-06-06,6,1930,1935,B
Dutch Clark,1906-10-11,7,1931,1938,TB-DB/Coach
Blanton Collier,1906-07-02,NA,NA,NA,Coach
Sam Cordovano,1906-12-10,1,1930,1930,G
Al Cornsweet,1906-07-16,1,1931,1931,FB/Coach
Jack Daniels,1906-12-24,1,1925,1925,TB
Fred Danziger,1906-01-12,1,1931,1931,FB
Wayne Davenport,1906-12-16,1,1931,1931,HB
Red Dawson,1906-12-20,NA,NA,NA,Coach
John Depner,1906-06-27,1,1929,1929,E
Sonny Doell,1906-12-08,1,1933,1933,T
Hoot Drury,1906-07-02,2,1930,1931,E
Pat Duffy,1906-12-06,1,1929,1929,B
Harry Ebding,1906-09-12,7,1931,1937,E
Swede Ellstrom,1906-05-15,3,1934,1936,WB-HB
Shorty Elness,1906-05-10,1,1929,1929,HB-QB
Dick Frahm,1906-04-11,2,1932,1935,WB-T
Paul Franklin,1906-02-10,3,1931,1933,B-E
John Gabler,1906-04-16,1,1925,1925,G
Weldon Gentry,1906-09-09,2,1930,1931,G
Gardie Grange,1906-12-02,3,1929,1931,HB-E
Len Grant,1906-01-17,8,1930,1937,T
Rosie Grant,1906-12-28,3,1932,1934,G
Bob Haas,1906-05-25,1,1929,1929,B
Willie Halpern,1906-11-06,1,1930,1930,T
Ernie Hambacher,1906-12-12,1,1929,1929,FB-TB
Jesse Hibbs,1906-01-11,1,1931,1931,T
Jack Hutton,1906-08-12,1,1930,1930,E-HB
Tex Irvin,1906-10-09,5,1931,1935,T-FB-G
Ted James,1906-08-08,1,1929,1929,G-C
Bill Kern,1906-09-02,2,1929,1930,T
Tom Kerrigan,1906-07-07,2,1929,1930,G
Dutch Kitzmiller,1906-11-25,1,1931,1931,FB
Art Koeninger,1906-11-01,3,1931,1933,C
Joe Krejci,1906-03-16,1,1934,1934,E
Joe Kresky,1906-04-27,4,1932,1935,G-T
Jim Levey,1906-09-13,3,1934,1936,B
Tiny Lewis,1906-10-18,2,1930,1931,BB-FB-WB
Tex Leyendecker,1906-02-03,1,1933,1933,T-C-LB
Tom Lomasney,1906-05-11,1,1929,1929,E
Harvey Long,1906-09-11,2,1929,1930,T-G
Al Maeder,1906-01-25,1,1929,1929,T
Roger Mahoney,1906-07-19,3,1928,1930,C-G-E
Charley Marshall,1906-07-25,2,1931,1932,E
Dick Marsh,1906-08-29,1,1933,1933,G
Abe Martin,1906-01-19,1,1932,1932,B
Hersh Martin,1906-07-16,2,1929,1930,B
Firpo McGilbra,1906-11-05,1,1926,1926,T-G
Warren McGuirk,1906-01-02,2,1929,1930,T
Danny McMullen,1906-05-08,4,1929,1932,G
Tony Mehelich,1906-08-04,1,1929,1929,G
Barnes Milam,1906-01-04,1,1934,1934,G-T
Dutch Miller,1906-02-23,1,1931,1931,C
Buster Mitchell,1906-02-16,7,1931,1937,E-T
Don Moses,1906-01-14,1,1933,1933,BB
Tim Moynihan,1906-09-23,2,1932,1933,C
Dave Myers,1906-09-07,2,1930,1931,G-B
Ted Nemzek,1906-02-11,1,1930,1930,T
Mally Nydall,1906-11-24,3,1929,1931,B
Henry Obst,1906-12-23,2,1931,1933,G
Phil Peterson,1906-03-29,1,1934,1934,E
Leo Raskowski,1906-03-28,3,1932,1935,T
Neil Rengel,1906-04-09,1,1930,1930,FB
Charlie Richardson,1906-09-12,1,1925,1925,BB
Ray Richards,1906-07-16,5,1930,1936,T-G-E/Coach
Mike Riordan,1906-09-04,1,1929,1929,E-BB
Stan Rosen,1906-03-28,1,1929,1929,BB-TB
Al Sarafiny,1906-09-02,1,1933,1933,C
Russ Saunders,1906-01-26,1,1931,1931,FB
Paul Schuette,1906-03-10,4,1928,1932,G
Elmer Schwartz,1906-07-29,3,1931,1933,B
Phil Scott,1906-04-11,1,1929,1929,E
Deck Shelley,1906-06-04,2,1931,1932,B
Johnny Sisk,1906-12-11,5,1932,1936,HB
Ken Strong,1906-04-21,12,1929,1947,FB-TB-HB-WB-DB-
Jim Tarr,1906-09-26,1,1931,1931,E
Bill Thompson,1906-08-12,1,1925,1925,C
Pinky Thompson,1906-02-16,1,1927,1927,HB
Stumpy Thomason,1906-02-24,7,1930,1936,B
Pop Williams,1906-05-04,5,1928,1932,B
Earl Witte,1906-12-12,1,1934,1934,BB-DB
Ernie Woerner,1906-05-26,1,1930,1930,T
Ab Wright,1906-11-16,1,1930,1930,TB
Herm Young,1906-03-21,1,1930,1930,E
Dave Zuidmulder,1906-02-04,3,1929,1931,TB
Jaby Andrews,1907-01-07,1,1934,1934,WB-DB
Corrie Artman,1907-01-18,3,1931,1933,T
Steve Banas,1907-04-30,1,1935,1935,BB-DB
Ralph Barkman,1907-09-22,1,1929,1929,B
Nate Barragar,1907-06-03,5,1930,1935,C-G
Chuck Bennett,1907-08-09,3,1930,1933,B
Stub Blackman,1907-02-01,1,1930,1930,FB
Walt Brewster,1907-08-16,1,1929,1929,T
Richard Brown,1907-05-27,1,1930,1930,C
Hank Bruder,1907-11-22,10,1931,1940,B
Ralph Buckley,1907-03-18,1,1930,1930,BB-HB
Art Bultman,1907-09-16,4,1931,1934,C-LB-T
Harold Cherne,1907-03-07,1,1933,1933,T-G
Paul Collins,1907-10-31,4,1932,1935,E-DE
Irv Constantine,1907-01-18,1,1931,1931,HB
Joe Crakes,1907-12-29,2,1932,1933,E
Ray Davis,1907-09-14,2,1932,1933,C-G-T-E
Red Davis,1907-11-14,1,1933,1933,TB
George Demas,1907-01-07,2,1932,1934,G
Aldo Donelli,1907-07-22,NA,NA,NA,Coach
Leo Draveling,1907-06-23,1,1933,1933,T
Turk Edwards,1907-09-28,9,1932,1940,T/Coach
Ox Emerson,1907-12-18,8,1931,1938,G-C
Herb Eschbach,1907-04-26,2,1930,1931,C
Weeb Ewbank,1907-05-06,NA,NA,NA,Coach
Bernie Finn,1907-06-04,2,1930,1932,B
Jim Fitzgerald,1907-03-07,2,1930,1931,C
Latham Flanagan,1907-01-14,1,1931,1931,E
Bill Glassgow,1907-04-21,2,1930,1931,WB-HB
Royce Goodbread,1907-08-23,2,1930,1931,WB-HB
Ben Greenberg,1907-06-30,1,1930,1930,FB-TB
Swede Hagberg,1907-06-18,2,1929,1930,C-B-T
Hoot Haines,1907-02-25,2,1930,1931,T-G-E
Steven Hamas,1907-01-09,1,1929,1929,FB-WB
Swede Hanson,1907-11-10,8,1931,1938,B
Ken Haycraft,1907-02-16,2,1929,1930,E
Curly Hinchman,1907-11-12,2,1933,1934,B
Grassy Hinton,1907-06-30,1,1932,1932,TB-QB
Honolulu Hughes,1907-05-04,1,1932,1932,B
John Hurley,1907-10-28,1,1931,1931,E
Marne Intrieri,1907-09-13,3,1932,1934,C-G-T
Spider Johnson,1907-05-16,1,1930,1930,T
Jim Kamp,1907-12-05,2,1932,1933,T-G-E
Ray Kemp,1907-04-07,1,1933,1933,T
Howie Kriss,1907-06-02,1,1931,1931,HB
Ted Kucharski,1907-08-26,1,1930,1930,E
Joe Kurth,1907-01-23,2,1933,1934,T
Porter Lainhart,1907-11-06,1,1933,1933,QB
Biff Lee,1907-12-06,3,1931,1934,G
Lou Lubratovich,1907-05-30,5,1931,1935,T
Father Lumpkin,1907-01-27,8,1930,1937,B
Bob Lundell,1907-06-21,2,1929,1930,E
Babe Lyon,1907-03-30,5,1929,1934,T-G
Les Molloy,1907-12-08,3,1931,1933,B
Ralph Marston,1907-02-16,1,1929,1929,QB
Gus Mastrogany,1907-10-25,1,1931,1931,E
Walt Masters,1907-03-28,3,1936,1944,B
Ed Matesic,1907-11-06,3,1934,1936,TB-HB
Lindy Mayhew,1907-08-24,3,1936,1938,G-T
Bill McKalip,1907-06-05,4,1931,1936,E-WB
Frank McNally,1907-03-19,4,1931,1934,C-T-G
Jim Mooney,1907-09-16,5,1930,1935,E-T-G
George Munday,1907-06-13,4,1931,1934,T-G
Packie Nelson,1907-02-18,1,1929,1929,T
Jerry Nemecek,1907-01-01,1,1931,1931,E
Dick Nesbitt,1907-11-12,5,1930,1934,HB-FB
Al Norgard,1907-11-03,1,1934,1934,E
Ray Novotny,1907-10-12,3,1930,1932,B
Doc Parkinson,1907-03-16,1,1931,1931,FB-HB
Jim Pederson,1907-10-19,3,1930,1932,B
Louie Pessolano,1907-02-23,1,1929,1929,T-G-E
Carl Pignatelli,1907-11-26,1,1931,1931,HB-BB
Ernie Pinckert,1907-05-01,9,1932,1940,B
Ken Radick,1907-06-17,2,1930,1931,E-G-T
Bill Raffel,1907-08-26,1,1932,1932,E
Clare Randolph,1907-05-02,7,1930,1936,C-G-LB-E
Dave Ribble,1907-03-28,4,1932,1935,G-T
Dick Richards,1907-11-17,1,1933,1933,FB-WB
Harry Richman,1907-01-09,1,1929,1929,G
Carroll Ringwalt,1907-12-15,2,1930,1931,C-G
Fred Roberts,1907-03-18,3,1930,1932,G
Kelly Rodriguez,1907-08-09,1,1930,1930,B
George Rogge,1907-09-03,4,1931,1934,E
Harvey Sark,1907-01-30,2,1931,1934,G
Johnny Scalzi,1907-03-22,1,1931,1931,B
Art Schiebel,1907-11-02,1,1932,1932,T
Herman Seborg,1907-01-09,2,1930,1931,G-B
Jack Shapiro,1907-03-22,1,1929,1929,B
Jesse Shaw,1907-06-11,1,1931,1931,G
Red Shurtliffe,1907-04-12,1,1929,1929,WB-TB
Tony Siano,1907-01-10,2,1932,1934,C
Red Sleight,1907-07-08,2,1930,1931,T
Stud Stennett,1907-02-08,2,1931,1932,B
Tony Steponovich,1907-01-15,1,1930,1930,G-E
Ed Storm,1907-10-02,2,1934,1935,B
Hal Stotsbery,1907-05-11,1,1930,1930,T
Mike Stramiello,1907-02-02,4,1930,1934,E
Cookie Tackwell,1907-01-14,5,1930,1934,E-T
Bob Tanner,1907-09-27,1,1930,1930,E-T
Erk Taylor,1907-10-07,1,1931,1931,G-T
Harry Thayer,1907-03-21,1,1933,1933,T-G
Jess Tinsley,1907-10-18,5,1929,1933,T-E
Clyde Van Sickle,1907-05-26,3,1930,1933,G
Eddie Wall,1907-04-21,1,1930,1930,BB
David Ward,1907-03-10,1,1933,1933,E-DE
Johnny Ward,1907-03-08,1,1930,1930,T
Gordon Watkins,1907-06-19,2,1930,1931,T-G
Basil Wilkerson,1907-01-22,2,1932,1934,E-T
Stu Wilson,1907-07-01,1,1932,1932,E-WB-TB
Stu Worden,1907-05-06,4,1930,1934,G-T-C-LB
Izzy Yablok,1907-07-28,2,1930,1931,BB-TB
Joe Zapustas,1907-07-25,1,1933,1933,E
Frank Abruzzino,1908-01-22,2,1931,1933,BB-LB-C-G-E-WB-
Gump Ariail,1908-12-29,1,1934,1934,E
Howie Auer,1908-01-09,1,1933,1933,T
George Barna,1908-03-23,1,1929,1929,E
Earl Bartlett,1908-12-16,1,1939,1939,HB
Frank Bausch,1908-06-14,8,1934,1941,C
Bill Boyd,1908-11-08,2,1930,1931,B
Chuck Brodnicki,1908-11-03,1,1934,1934,G
Paul Brown,1908-09-07,NA,NA,NA,Coach
Dale Burnett,1908-01-23,10,1930,1939,B
Bob Campiglio,1908-05-17,2,1932,1933,B
John Cannella,1908-02-08,2,1933,1934,G-C-LB-T
John Cavosie,1908-01-06,3,1931,1933,B-E
George Chalmers,1908-10-19,1,1933,1933,C
Rick Concannon,1908-01-12,4,1932,1936,G-T
George Corbett,1908-06-14,7,1932,1938,B
Milan Creighton,1908-01-21,7,1931,1937,E/Coach
Larry Critchfield,1908-01-06,1,1933,1933,G
Bernie Crowl,1908-03-25,1,1930,1930,G-C
Paul Cuba,1908-06-12,3,1933,1935,T
Al Culver,1908-06-11,1,1932,1932,T
Fred DaGata,1908-04-04,1,1931,1931,FB
Ted Dailey,1908-09-25,1,1933,1933,E
Art Dorfman,1908-05-09,1,1929,1929,C
Tommy Dowler,1908-07-03,1,1931,1931,WB
Jess Eberdt,1908-04-17,1,1932,1932,C
Bud Edwards,1908-03-21,2,1930,1931,B
Earl Elser,1908-03-21,2,1933,1934,T
Wuert Engelmann,1908-02-11,4,1930,1933,B
Beryl Follet,1908-04-26,2,1930,1931,TB-HB
Frank Glassman,1908-05-14,1,1929,1929,G-T
Lou Gordon,1908-07-15,9,1930,1938,T-G-E
Clarence Graham,1908-10-06,1,1928,1928,B
Aaron Grant,1908-07-03,1,1930,1930,C
Roger Grove,1908-06-19,5,1931,1935,BB-HB-QB
Buck Halperin,1908-01-26,1,1932,1932,HB
Phil Handler,1908-07-21,7,1930,1936,G/Coach
Les Hart,1908-03-07,1,1931,1931,BB
Irv Hill,1908-12-08,3,1931,1933,BB-FB-LB-DB
Hal Hilpert,1908-08-09,2,1930,1933,E-B
Tony Holm,1908-05-22,4,1930,1933,B
Merle Hutson,1908-08-27,1,1931,1931,G-T
Leo Jensvold,1908-03-29,1,1931,1931,HB
Al Kanya,1908-03-07,2,1931,1932,T-E
