player,birthday,yrs,from,to,team
Lou Angotti,1938-01-16,9,1965,1974,"NYR,CBH,PHI,PIT,STL"
Darren Boyko,1964-01-16,0,1989,1989,WIN
Gary Burns,1955-01-16,0,1981,1981,NYR
Polly Drouin,1916-01-16,6,1935,1941,MTL
Matt Duchene,1991-01-16,10,2010,2020,"COL,OTT,CBJ,NSH"
Daniel Goneau,1976-01-16,3,1997,2000,NYR
Ken Kilrea,1919-01-16,5,1939,1944,DET
Scot Kleinendorst,1960-01-16,7,1983,1990,"NYR,HAR,WSH"
Stephen Leach,1966-01-16,14,1986,2000,"WSH,BOS,STL,CAR,OTT,PHX,PIT"
Jamie Lundmark,1981-01-16,7,2003,2010,"NYR,CGY,PHX,LAK,TOR"
Masi Marjamaki,1985-01-16,0,2006,2006,NYI
Pat McReavy,1918-01-16,3,1939,1942,"BOS,DET"
Brenden Morrow,1979-01-16,15,2000,2015,"DAL,PIT,STL,TBL"
Petteri Nokelainen,1986-01-16,6,2006,2012,"NYI,BOS,ANA,PHX,MTL"
Derrick Pouliot,1994-01-16,5,2015,2020,"PIT,VAN,STL"
Todd Rohloff,1974-01-16,2,2002,2004,"WSH,CBJ"
Kurt Sauer,1981-01-16,7,2003,2010,"MDA,COL,PHX"
John Sorrell,1906-01-16,10,1931,1941,"DTF,DET,NYA"
Ben Thomson,1993-01-16,0,2017,2017,NJD
Jason Ward,1979-01-16,9,2000,2009,"MTL,NYR,LAK,TBL"
Jason Zucker,1992-01-16,8,2012,2020,"MIN,PIT"
Tim Bernhardt,1958-01-17,4,1983,1987,"CGY,TOR"
Leo Bourgeault,1903-01-17,8,1927,1935,"NYR,TOR,OTS,MTL"
Russ Brayshaw,1918-01-17,0,1945,1945,CBH
Al Conroy,1966-01-17,2,1992,1994,PHI
Scott Foster,1982-01-17,0,2018,2018,CHI
Stanislav Galiev,1992-01-17,1,2015,2016,WSH
Jeff Heerema,1980-01-17,1,2003,2004,"CAR,STL"
Ryan Hughes,1972-01-17,0,1996,1996,BOS
Fred Hunt,1918-01-17,4,1941,1945,"NYA,NYR"
Pep Kelly,1914-01-17,7,1935,1942,"TOR,CBH,BRO"
Milan Kraft,1980-01-17,3,2001,2004,PIT
Derek Plante,1971-01-17,7,1994,2001,"BUF,DAL,CHI,PHI"
Jacques Plante*,1929-01-17,20,1953,1973,"MTL,NYR,STL,TOR,BOS"
Richie Regehr,1983-01-17,1,2006,2007,CGY
Jeremy Roenick,1970-01-17,20,1989,2009,"CHI,PHX,PHI,LAK,SJS"
Viktor Stalberg,1986-01-17,7,2010,2017,"TOR,CHI,NSH,NYR,CAR,OTT"
Sylvain Turgeon,1965-01-17,11,1984,1995,"HAR,NJD,MTL,OTT"
Mark Van Guilder,1984-01-17,0,2014,2014,NSH
Aaron Ward,1973-01-17,16,1994,2010,"DET,CAR,BOS,NYR,ANA"
Craig Weller,1981-01-17,1,2008,2009,"PHX,MIN"
Mike Zigomanis,1981-01-17,8,2003,2011,"CAR,STL,PHX,PIT,TOR"
Syl Apps*,1915-01-18,11,1937,1948,TOR
Alain Belanger,1956-01-18,0,1978,1978,TOR
Radim Bicanek,1975-01-18,7,1995,2002,"OTT,CHI,CBJ"
Mike Blaisdell,1960-01-18,8,1981,1989,"DET,NYR,PIT,TOR"
Ryan Carpenter,1991-01-18,4,2016,2020,"SJS,VEG,CHI"
Pheonix Copley,1992-01-18,3,2016,2019,"STL,WSH"
Ruslan Fedotenko,1979-01-18,12,2001,2013,"PHI,TBL,NYI,PIT,NYR"
Jere Gillis,1957-01-18,9,1978,1987,"VAN,NYR,QUE,BUF,PHI"
Brian Gionta,1979-01-18,16,2002,2018,"NJD,MTL,BUF,BOS"
Chuck Hamilton,1939-01-18,11,1962,1973,"MTL,STL"
Jim Hamilton,1957-01-18,7,1978,1985,PIT
Josh Holden,1978-01-18,5,1999,2004,"VAN,CAR,TOR"
Dean Kennedy,1963-01-18,12,1983,1995,"LAK,NYR,BUF,WIN,EDM"
Jason LaBarbera,1980-01-18,14,2001,2015,"NYR,LAK,VAN,PHX,EDM,ANA"
Max Labovitch,1924-01-18,0,1944,1944,NYR
Pete Laframboise,1950-01-18,3,1972,1975,"CGS,PIT,WSH"
Denis Malgin,1997-01-18,3,2017,2020,"FLA,TOR"
Andrew McBain,1965-01-18,10,1984,1994,"WIN,PIT,VAN,OTT"
Mark Messier*,1961-01-18,24,1980,2004,"EDM,NYR,VAN"
Alex Pietrangelo,1990-01-18,11,2009,2020,STL
Jamie Ram,1971-01-18,0,1996,1996,NYR
Chad Rau,1987-01-18,0,2012,2012,MIN
Fern Rivard,1946-01-18,6,1969,1975,MNS
Jaime Sifers,1983-01-18,1,2009,2010,"TOR,MIN"
Jesse Spring,1901-01-18,6,1924,1930,"HAM,PTP,TOR,NYA"
Scott Thomas,1970-01-18,8,1993,2001,"BUF,LAK"
John Albert,1989-01-19,0,2014,2014,WPG
Johnny Boychuk,1984-01-19,12,2008,2020,"COL,BOS,NYI"
Gary Bromley,1950-01-19,7,1974,1981,"BUF,VAN"
Billy Carroll,1959-01-19,6,1981,1987,"NYI,EDM,DET"
Sylvain Cote,1966-01-19,18,1985,2003,"HAR,WSH,TOR,CHI,DAL"
Tyler Cuma,1990-01-19,0,2012,2012,MIN
Kimbi Daniels,1972-01-19,1,1991,1992,PHI
Norm Defelice,1933-01-19,0,1957,1957,BOS
John Gallagher,1909-01-19,8,1931,1939,"MTM,DET,NYA"
Larry Goodenough,1953-01-19,5,1975,1980,"PHI,VAN"
Gord Hannigan,1929-01-19,3,1953,1956,TOR
Busher Jackson*,1911-01-19,14,1930,1944,"TOR,NYA,BOS"
Francis Kane,1923-01-19,0,1944,1944,DET
Ed Kea,1948-01-19,9,1974,1983,"ATF,STL"
Mike Komisarek,1982-01-19,11,2003,2014,"MTL,TOR,CAR"
Ian Laperriere,1974-01-19,16,1994,2010,"STL,LAK,NYR,COL,PHI"
Ross Lupaschuk,1981-01-19,0,2003,2003,PIT
Don McLean,1954-01-19,0,1976,1976,WSH
Sean McMorrow,1982-01-19,0,2003,2003,BUF
Dunc Munro,1901-01-19,7,1925,1932,"MTM,MTL"
Timo Parssinen,1977-01-19,0,2002,2002,MDA
Jukka Porvari,1954-01-19,1,1982,1983,"CLR,NJD"
Art Somers,1902-01-19,5,1930,1935,"CBH,NYR"
Thomas Vanek,1984-01-19,13,2006,2019,"BUF,MTL,NYI,MIN,DET,FLA,CBJ,VAN"
Jordy Douglas,1958-01-20,5,1980,1985,"HAR,MNS,WIN"
Lou Fontinato,1932-01-20,8,1955,1963,"NYR,MTL"
Bob Frampton,1929-01-20,0,1950,1950,MTL
Rob Gaudreau,1970-01-20,3,1993,1996,"SJS,OTT"
Gabe Gauthier,1984-01-20,1,2007,2008,LAK
Alex Grant,1989-01-20,2,2014,2016,"ANA,ARI"
Inge Hammarstrom,1948-01-20,5,1974,1979,"TOR,STL"
Eric Healey,1975-01-20,0,2006,2006,BOS
Jamie Hislop,1954-01-20,4,1980,1984,"QUE,CGY"
Joe Jerwa,1907-01-20,8,1931,1939,"NYR,BOS,NYA"
Maxim Kondratiev,1983-01-20,4,2004,2008,"TOR,NYR,ANA"
Sean Kuraly,1993-01-20,3,2017,2020,BOS
Eric Landry,1975-01-20,4,1998,2002,"CGY,MTL"
Chuck Lefley,1950-01-20,10,1971,1981,"MTL,STL"
Bryan Lerg,1986-01-20,1,2015,2016,SJS
Grant Lewis,1985-01-20,0,2009,2009,ATL
Hampus Lindholm,1994-01-20,6,2014,2020,ANA
Kari Makkonen,1955-01-20,0,1980,1980,EDM
Christian Matte,1975-01-20,4,1997,2001,"COL,MIN"
Roland McKeown,1996-01-20,0,2018,2018,CAR
Josef Melichar,1979-01-20,8,2001,2009,"PIT,CAR,TBL"
Jan Mursak,1988-01-20,2,2011,2013,DET
Ryan Reaves,1987-01-20,9,2011,2020,"STL,PIT,VEG"
Mike Sislo,1988-01-20,2,2014,2016,NJD
Anthony Stolarz,1994-01-20,3,2017,2020,"PHI,EDM,ANA"
Dick Tarnstrom,1975-01-20,6,2002,2008,"NYI,PIT,EDM,CBJ"
Nikos Tselios,1979-01-20,0,2002,2002,CAR
Ron Anderson,1950-01-21,0,1975,1975,WSH
Oskars Bartulis,1987-01-21,1,2010,2011,PHI
Brian Bradley,1965-01-21,12,1986,1998,"CGY,VAN,TOR,TBL"
Josh Brown,1994-01-21,1,2019,2020,FLA
Craig Coxe,1964-01-21,7,1985,1992,"VAN,CGY,STL,SJS"
Kirby Dach,2001-01-21,0,2020,2020,CHI
Ulf Dahlen,1967-01-21,15,1988,2003,"NYR,MNS,DAL,SJS,CHI,WSH"
Andreas Englund,1996-01-21,3,2017,2020,OTT
Bobby Farnham,1989-01-21,2,2015,2017,"PIT,NJD,MTL"
Dany Heatley,1981-01-21,13,2002,2015,"ATL,OTT,SJS,MIN,ANA"
Darren Helm,1987-01-21,12,2008,2020,DET
Burke Henry,1979-01-21,1,2003,2004,CHI
Quinton Howden,1992-01-21,4,2013,2017,"FLA,WPG"
Mike Keating,1957-01-21,0,1978,1978,NYR
Tom Kuhnhackl,1992-01-21,4,2016,2020,"PIT,NYI"
John LeBlanc,1964-01-21,8,1987,1995,"VAN,EDM,WIN"
Moe Mantha,1961-01-21,11,1981,1992,"WIN,PIT,EDM,MNS,PHI"
Craig Martin,1971-01-21,2,1995,1997,"WIN,FLA"
Brayden McNabb,1991-01-21,8,2012,2020,"BUF,LAK,VEG"
Griffen Molino,1994-01-21,0,2017,2017,VAN
Jonathan Quick,1986-01-21,12,2008,2020,LAK
John Quilty,1921-01-21,7,1941,1948,"MTL,BOS"
Michal Sivek,1981-01-21,0,2003,2003,PIT
Tobias Stephan,1984-01-21,1,2008,2009,DAL
Ryan Suter,1985-01-21,14,2006,2020,"NSH,MIN"
Georges Vezina*,1887-01-21,8,1918,1926,MTL
Doug Weight,1971-01-21,19,1992,2011,"NYR,EDM,STL,CAR,ANA,NYI"
Dmitri Yakushin,1978-01-21,0,2000,2000,TOR
Andrei Zyuzin,1978-01-21,10,1998,2008,"SJS,TBL,NJD,MIN,CGY,CHI"
Mike Bossy*,1957-01-22,9,1978,1987,NYI
Tom Brennan,1922-01-22,1,1944,1945,BOS
Shean Donovan,1975-01-22,15,1995,2010,"SJS,COL,ATL,PIT,CGY,BOS,OTT"
Bill Durnan*,1916-01-22,6,1944,1950,MTL
Ben Eager,1984-01-22,8,2006,2014,"PHI,CHI,ATL,SJS,EDM"
Robert Esche,1978-01-22,8,1999,2007,"PHX,PHI"
Robby Fabbri,1996-01-22,4,2016,2020,"STL,DET"
Greg Gilbert,1962-01-22,14,1982,1996,"NYI,CHI,NYR,STL"
Jon Gillies,1994-01-22,1,2017,2018,CGY
Nicklas Grossmann,1985-01-22,10,2007,2017,"DAL,PHI,ARI,CGY"
Sami Helenius,1974-01-22,6,1997,2003,"CGY,TBL,COL,DAL,CHI"
Joshua Ho-Sang,1996-01-22,2,2017,2019,NYI
Elmer Lach*,1918-01-22,13,1941,1954,MTL
Simon Lajeunesse,1981-01-22,0,2002,2002,OTT
Jay Mazur,1965-01-22,3,1989,1992,VAN
John Mitchell,1985-01-22,8,2009,2017,"TOR,NYR,COL"
Oscar Moller,1989-01-22,2,2009,2011,LAK
Ken Murray,1948-01-22,6,1970,1976,"TOR,DET,NYI,KCS"
Dick Sarrazin,1946-01-22,3,1969,1972,PHI
Serge Savard*,1946-01-22,16,1967,1983,"MTL,WIN"
Scott Shaunessy,1964-01-22,2,1987,1989,QUE
Kole Sherwood,1997-01-22,1,2019,2020,CBJ
Derrick Smith,1965-01-22,9,1985,1994,"PHI,MNS,DAL"
Damian Surma,1981-01-22,1,2003,2004,CAR
J.C. Tremblay,1939-01-22,12,1960,1972,MTL
David Vyborny,1975-01-22,7,2001,2008,CBJ
Tom Younghans,1953-01-22,5,1977,1982,"MNS,NYR"
Timo Blomqvist,1961-01-23,5,1982,1987,"WSH,NJD"
Joel Bouchard,1974-01-23,11,1995,2006,"CGY,NSH,DAL,PHX,NJD,NYR,PIT,NYI"
Randy Boyd,1962-01-23,7,1982,1989,"PIT,CBH,NYI,VAN"
Steve Christoff,1958-01-23,4,1980,1984,"MNS,CGY,LAK"
Francois Groleau,1973-01-23,2,1996,1998,MTL
Scott Hannan,1979-01-23,16,1999,2015,"SJS,COL,WSH,CGY,NSH"
Tomas Holmstrom,1973-01-23,15,1997,2012,DET
Mark Kolesar,1973-01-23,1,1996,1997,TOR
Leo Komarov,1987-01-23,7,2013,2020,"TOR,NYI"
Lucas Lessio,1993-01-23,2,2014,2016,"PHX,ARI,MTL"
Ray Markham,1958-01-23,0,1980,1980,NYR
Boo Nieves,1994-01-23,3,2017,2020,NYR
Ivan Novoseltsev,1979-01-23,4,2000,2004,"FLA,PHX"
Steve Peters,1960-01-23,0,1980,1980,CLR
Jaroslav Pouzar,1952-01-23,4,1983,1987,EDM
Chris Pryor,1961-01-23,5,1985,1990,"MNS,NYI"
Darren Rumble,1969-01-23,13,1991,2004,"PHI,OTT,STL,TBL"
J.F. Sauve,1960-01-23,6,1981,1987,"BUF,QUE"
Brendan Shanahan*,1969-01-23,21,1988,2009,"NJD,STL,HAR,DET,NYR"
Richard Smehlik,1970-01-23,10,1993,2003,"BUF,ATL,NJD"
Martin Sonnenberg,1978-01-23,5,1999,2004,"PIT,CGY"
Frédéric St. Denis,1986-01-23,3,2012,2015,"MTL,CBJ"
Jamie Tardif,1985-01-23,0,2013,2013,BOS
Chick Chalmers,1934-01-24,0,1954,1954,NYR
Guy Charron,1949-01-24,11,1970,1981,"MTL,DET,KCS,WSH"
Patrick Cote,1975-01-24,5,1996,2001,"DAL,NSH,EDM"
Jeff Farkas,1978-01-24,2,2001,2003,"TOR,ATL"
Chris Ferraro,1973-01-24,6,1996,2002,"NYR,PIT,EDM,NYI,WSH"
Peter Ferraro,1973-01-24,6,1996,2002,"NYR,PIT,BOS,WSH"
Danny Geoffrion,1958-01-24,2,1980,1982,"MTL,WIN"
Jack Hillen,1986-01-24,7,2008,2015,"NYI,NSH,WSH,CAR"
Zack Kassian,1991-01-24,8,2012,2020,"BUF,VAN,EDM"
Bill Knibbs,1942-01-24,0,1965,1965,BOS
Scott Kosmachuk,1994-01-24,0,2016,2016,WPG
Tom Kostopoulos,1979-01-24,11,2002,2013,"PIT,LAK,MTL,CAR,CGY,NJD"
Jim Mathieson,1970-01-24,0,1990,1990,WSH
Gus Mortson,1925-01-24,12,1947,1959,"TOR,CBH,DET"
Matt Puempel,1993-01-24,4,2015,2019,"OTT,NYR,DET"
Mark Reeds,1960-01-24,7,1982,1989,"STL,HAR"
Griffin Reinhart,1994-01-24,1,2015,2016,"NYI,EDM"
Norm Schmidt,1963-01-24,4,1984,1988,PIT
Bobby Taylor,1945-01-24,4,1972,1976,"PHI,PIT"
Cy Wentworth,1905-01-24,12,1928,1940,"CBH,MTM,MTL"
Rick Adduono,1955-01-25,4,1976,1980,"BOS,ATF"
Troy Bodie,1985-01-25,6,2009,2015,"ANA,CAR,TOR"
Rick Bowness,1955-01-25,5,1976,1981,"ATF,DET,STL,WIN"
Mario Brunetta,1967-01-25,2,1988,1990,QUE
Chris Chelios*,1962-01-25,26,1984,2010,"MTL,CHI,DET,ATL"
Jared Cowen,1991-01-25,6,2010,2016,OTT
Barry Cummins,1949-01-25,0,1974,1974,CGS
Corb Denneny,1894-01-25,10,1918,1928,"TRA,TRS,HAM,TOR,CBH"
Gordie Dwyer,1978-01-25,4,2000,2004,"TBL,MTL,NYR"
Aut Erickson,1938-01-25,10,1960,1970,"BOS,CBH,OAK"
Fern Flaman*,1927-01-25,16,1945,1961,"BOS,TOR"
Lorry Gloeckner,1956-01-25,0,1979,1979,DET
Mark Greig,1970-01-25,12,1991,2003,"HAR,TOR,CGY,PHI"
Noah Hanifin,1997-01-25,4,2016,2020,"CAR,CGY"
Pauli Jaks,1972-01-25,0,1995,1995,LAK
Steve Maltais,1969-01-25,11,1990,2001,"WSH,MNS,TBL,DET,CBJ"
Randy McKay,1967-01-25,14,1989,2003,"DET,NJD,DAL,MTL"
Philippe Myers,1997-01-25,1,2019,2020,PHI
Lou Nistico,1953-01-25,0,1978,1978,CLR
Bill O'Dwyer,1960-01-25,6,1984,1990,"LAK,BOS"
Paul Ranheim,1966-01-25,14,1989,2003,"CGY,HAR,CAR,PHI,PHX"
Mario Roberge,1964-01-25,4,1991,1995,MTL
Martin Samuelsson,1982-01-25,1,2003,2004,BOS
Bob Sweeney,1964-01-25,9,1987,1996,"BOS,BUF,CGY,NYI"
Esa Tikkanen,1965-01-25,13,1986,1999,"EDM,NYR,STL,NJD,VAN,FLA,WSH"
Pavel Torgaev,1966-01-25,4,1996,2000,"CGY,TBL"
Lukas Vejdemo,1996-01-25,0,2020,2020,MTL
Amos Arbour,1895-01-26,5,1919,1924,"MTL,HAM,TRS"
Fred Barrett,1950-01-26,13,1971,1984,"MNS,LAK"
Daniel Berthiaume,1966-01-26,7,1987,1994,"WIN,MNS,LAK,BOS,OTT"
Rod Dallman,1967-01-26,4,1988,1992,"NYI,PHI"
Harold Druken,1979-01-26,4,2000,2004,"VAN,CAR,TOR"
Mike Fountain,1972-01-26,4,1997,2001,"VAN,CAR,OTT"
Steve Gainey,1979-01-26,5,2001,2006,"DAL,PHX"
Tyrell Goulbourne,1994-01-26,1,2018,2019,PHI
Wayne Gretzky*,1961-01-26,19,1980,1999,"EDM,LAK,STL,NYR"
Blake Hillman,1996-01-26,0,2018,2018,CHI
Ivan Hlinka,1950-01-26,1,1982,1983,VAN
Chad Kolarik,1986-01-26,1,2010,2011,"CBJ,NYR"
Martin Lauder,1907-01-26,0,1928,1928,BOS
Louis Leblanc,1991-01-26,2,2012,2014,MTL
Vic Lynn,1925-01-26,11,1943,1954,"NYR,DET,MTL,TOR,BOS,CBH"
Dean Malkoc,1970-01-26,3,1996,1999,"VAN,BOS,NYI"
Dale McCourt,1957-01-26,6,1978,1984,"DET,BUF,TOR"
Scott McKay,1972-01-26,0,1994,1994,MDA
Billy McNeill,1936-01-26,7,1957,1964,DET
Dan Newman,1952-01-26,3,1977,1980,"NYR,MTL,EDM"
Frank Nighbor*,1893-01-26,12,1918,1930,"OTS,TOR"
Phil Oreskovic,1987-01-26,0,2009,2009,TOR
Alf Skinner,1896-01-26,8,1918,1926,"TRA,BOS,MTM,PTP"
Glen Skov,1931-01-26,11,1950,1961,"DET,CBH,MTL"
Mark Taylor,1958-01-26,4,1982,1986,"PHI,PIT,WSH"
Jeremy Williams,1984-01-26,5,2006,2011,"TOR,NYR"
Patrice Brisebois,1971-01-27,18,1991,2009,"MTL,COL"
Jiri Bubla,1950-01-27,4,1982,1986,VAN
Carlo Colaiacovo,1983-01-27,13,2003,2016,"TOR,STL,DET,PHI,BUF"
Parris Duffus,1970-01-27,0,1997,1997,PHX
Brian Engblom,1955-01-27,9,1978,1987,"MTL,WSH,LAK,BUF,CGY"
Alexander Godynyuk,1970-01-27,6,1991,1997,"TOR,CGY,FLA,HAR"
Terry Harper,1940-01-27,18,1963,1981,"MTL,LAK,DET,STL,CLR"
Tim Heed,1991-01-27,3,2017,2020,SJS
Tom Hirsch,1963-01-27,4,1984,1988,MNS
Tomi Kallio,1977-01-27,2,2001,2003,"ATL,CBJ,PHI"
Ray Kinsella,1911-01-27,0,1931,1931,OTS
Mark Lawrence,1972-01-27,6,1995,2001,"DAL,NYI"
Dave Manson,1967-01-27,15,1987,2002,"CHI,EDM,WIN,MTL,PHX,DAL,TOR"
Hector Marini,1957-01-27,5,1979,1984,"NYI,NJD"
Tom Mellor,1950-01-27,1,1974,1975,DET
Paul Messier,1958-01-27,0,1979,1979,CLR
Liam Reddox,1986-01-27,3,2008,2011,EDM
Jeff Rohlicek,1966-01-27,1,1988,1989,VAN
Jason Ruff,1970-01-27,1,1993,1994,"STL,TBL"
Rhett Warrener,1976-01-27,12,1996,2008,"FLA,BUF,CGY"
Arnie Brown,1942-01-28,12,1962,1974,"TOR,NYR,DET,ATF,NYI"
Marty Burke,1905-01-28,10,1928,1938,"MTL,PTP,OTS,CBH"
Colin Campbell,1953-01-28,10,1975,1985,"PIT,CLR,EDM,VAN,DET"
Daniel Carcillo,1985-01-28,8,2007,2015,"PHX,PHI,CHI,LAK,NYR"
Carl Dahlstrom,1995-01-28,2,2018,2020,"CHI,WPG"
Martin Desjardins,1967-01-28,0,1990,1990,MTL
Jack Egers,1949-01-28,6,1970,1976,"NYR,STL,WSH"
Colin Fraser,1985-01-28,8,2007,2015,"CHI,EDM,LAK,STL"
Gerry Gray,1948-01-28,2,1971,1973,"DET,NYI"
Paul Henderson,1943-01-28,17,1963,1980,"DET,TOR,ATF"
Bill Hutton,1910-01-28,1,1930,1931,"BOS,OTS,PHQ"
David Kase,1997-01-28,0,2020,2020,PHI
Carl Klingberg,1991-01-28,4,2011,2015,"ATL,WPG"
Mark Napier,1957-01-28,10,1979,1989,"MTL,MNS,EDM,BUF"
Viktor Nechayev,1955-01-28,0,1983,1983,LAK
Bob Perreault,1931-01-28,7,1956,1963,"MTL,DET,BOS"
Michal Pivonka,1966-01-28,12,1987,1999,WSH
Alan Rittinger,1925-01-28,0,1944,1944,BOS
Normand Rochefort,1961-01-28,13,1981,1994,"QUE,NYR,TBL"
Paul Shmyr,1946-01-28,13,1969,1982,"CBH,CGS,MNS,HAR"
Alexei Smirnov,1982-01-28,1,2003,2004,MDA
Stan Smyl,1958-01-28,12,1979,1991,VAN
Ted Speers,1961-01-28,0,1986,1986,DET
Garrett Stafford,1980-01-28,3,2008,2011,"DET,DAL,PHX"
Sean Williams,1968-01-28,0,1992,1992,CHI
Paulin Bordeleau,1953-01-29,2,1974,1976,VAN
Barry Boughner,1948-01-29,1,1970,1971,"OAK,CGS"
Chris Bourque,1986-01-29,5,2008,2013,"WSH,PIT,BOS"
Sean Burke,1967-01-29,19,1988,2007,"NJD,HAR,CAR,PHI,VAN,FLA,PHX,TBL,LAK"
Glen Cochrane,1958-01-29,10,1979,1989,"PHI,VAN,CHI,EDM"
Joe Contini,1957-01-29,3,1978,1981,"CLR,MNS"
Tony Curtale,1962-01-29,0,1981,1981,CGY
Jason Doig,1977-01-29,8,1996,2004,"WIN,PHX,NYR,WSH"
Robert Dome,1979-01-29,5,1998,2003,"PIT,CGY"
Joel Eriksson Ek,1997-01-29,3,2017,2020,MIN
Mike Foligno,1959-01-29,14,1980,1994,"DET,BUF,TOR,FLA"
Tim Gleason,1983-01-29,11,2004,2015,"LAK,CAR,TOR,WSH"
Thomas Greiss,1986-01-29,12,2008,2020,"SJS,PHX,PIT,NYI"
Billy Harris,1952-01-29,11,1973,1984,"NYI,LAK,TOR"
Dominik Hasek*,1965-01-29,17,1991,2008,"CHI,BUF,DET,OTT"
Fred Hergerts,1913-01-29,1,1935,1936,NYA
Lou Holmes,1911-01-29,1,1932,1933,CBH
Ed Kastelic,1964-01-29,6,1986,1992,"WSH,HAR"
Juho Lammikko,1996-01-29,0,2019,2019,FLA
Vladimir Mihalik,1987-01-29,1,2009,2010,TBL
Bob Murdoch,1954-01-29,3,1976,1979,"CGS,CLE,STL"
Jim O'Brien,1989-01-29,7,2011,2018,"OTT,NJD"
Scott Parker,1978-01-29,9,1999,2008,"COL,SJS"
Steve Passmore,1973-01-29,5,1999,2004,"EDM,CHI,LAK"
Larry Pleau,1947-01-29,2,1970,1972,MTL
Marc Potvin,1967-01-29,5,1991,1996,"DET,LAK,HAR,BOS"
Joe Primeau*,1906-01-29,8,1928,1936,TOR
Pat Quinn*,1943-01-29,8,1969,1977,"TOR,VAN,ATF"
Doug Risebrough,1954-01-29,12,1975,1987,"MTL,CGY"
Jack Roslovic,1997-01-29,3,2017,2020,WPG
Kevin Shattenkirk,1989-01-29,9,2011,2020,"COL,STL,WSH,NYR,TBL"
Drew Shore,1991-01-29,4,2013,2017,"FLA,CGY,VAN"
Wayne Stephenson,1945-01-29,9,1972,1981,"STL,PHI,WSH"
Denis Tolpeko,1985-01-29,0,2008,2008,PHI
Roman Tvrdon,1981-01-29,0,2004,2004,WSH
Tom Wandell,1987-01-29,4,2009,2013,DAL
Kyle Wanvig,1981-01-29,5,2003,2008,"MIN,TBL"
Jorge Alves,1979-01-30,0,2017,2017,CAR
Ryan Barnes,1980-01-30,0,2004,2004,DET
Mike Baumgartner,1949-01-30,0,1975,1975,KCS
Jonathon Blum,1989-01-30,4,2011,2015,"NSH,MIN"
Larry Carriere,1952-01-30,7,1973,1980,"BUF,ATF,VAN,LAK,TOR"
Thomas Chabot,1997-01-30,3,2017,2020,OTT
Joe Colborne,1990-01-30,6,2011,2017,"TOR,CGY,COL"
Wade Dubielewicz,1979-01-30,6,2004,2010,"NYI,CBJ,MIN"
Rocky Dundas,1967-01-30,0,1990,1990,TOR
Stefan Elliott,1991-01-30,7,2012,2019,"COL,ARI,NSH,OTT"
Alex Friesen,1991-01-30,0,2016,2016,VAN
Trevor Gillies,1979-01-30,6,2006,2012,"MDA,NYI"
Ted Graham,1906-01-30,9,1928,1937,"CBH,DET,MTM,STE,BOS,NYA"
Steve Heinze,1970-01-30,11,1992,2003,"BOS,BUF,CBJ,LAK"
Dan Hinote,1977-01-30,9,2000,2009,"COL,STL"
Justin Holl,1992-01-30,2,2018,2020,TOR
Earl Ingarfield,1959-01-30,1,1980,1981,"ATF,CGY,DET"
Alexander Khavanov,1972-01-30,5,2001,2006,"STL,TOR"
Trent Klatt,1971-01-30,12,1992,2004,"MNS,DAL,PHI,VAN,LAK"
Scott Levins,1970-01-30,5,1993,1998,"WIN,FLA,OTT,PHX"
Sam LoPresti,1917-01-30,1,1941,1942,CBH
Darcy Martini,1969-01-30,0,1994,1994,EDM
Torrey Mitchell,1985-01-30,10,2008,2018,"SJS,MIN,BUF,MTL,LAK"
Don Nachbaur,1959-01-30,9,1981,1990,"HAR,EDM,PHI"
Danny O'Regan,1994-01-30,2,2017,2019,"SJS,BUF"
Brian Ogilvie,1952-01-30,6,1973,1979,"CBH,STL"
Rip Riopelle,1922-01-30,2,1948,1950,MTL
Shawn Rivers,1971-01-30,0,1993,1993,TBL
Max Sauve,1990-01-30,0,2012,2012,BOS
Luca Sbisa,1990-01-30,11,2009,2020,"PHI,ANA,VAN,VEG,NYI,WPG"
Chris Simon,1972-01-30,15,1993,2008,"QUE,COL,WSH,CHI,CGY,NYR,NYI,MIN"
Ryan Spooner,1992-01-30,6,2013,2019,"BOS,NYR,EDM,VAN"
Martin St. Amour,1970-01-30,0,1993,1993,OTT
Bill Sweeney,1937-01-30,0,1960,1960,NYR
Colin White,1997-01-30,3,2017,2020,OTT
Conor Allen,1990-01-31,1,2014,2015,NYR
Peter Bakovic,1965-01-31,0,1988,1988,VAN
Maxim Bets,1974-01-31,0,1994,1994,MDA
Jeff Bloemberg,1968-01-31,3,1989,1992,NYR
Brandon Bollig,1987-01-31,4,2012,2016,"CHI,CGY"
Curt Brackenbury,1952-01-31,3,1980,1983,"QUE,EDM,STL"
Bobby Dollas,1965-01-31,17,1984,2001,"WIN,QUE,DET,MDA,EDM,PIT,CGY,OTT,SJS"
Rick Dudley,1949-01-31,8,1973,1981,"BUF,WIN"
Allan Egeland,1973-01-31,2,1996,1998,TBL
Mikhail Grabovski,1984-01-31,9,2007,2016,"MTL,TOR,WSH,NYI"
Gaetan Haas,1992-01-31,0,2020,2020,EDM
Camille Henry,1933-01-31,16,1954,1970,"NYR,CBH,STL"
Jacob Markstrom,1990-01-31,9,2011,2020,"FLA,VAN"
Jack McLean,1923-01-31,2,1943,1945,TOR
Eddie Mio,1954-01-31,6,1980,1986,"EDM,NYR,DET"
Wayne Ramsey,1957-01-31,0,1978,1978,BUF
Tyler Seguin,1992-01-31,9,2011,2020,"BOS,DAL"
