player,birthday,yrs,from,to,month,day,country
Marcos Rafael,1969-08-05,0,1993,1993,8,5,Venezuela
Antonio Rafael,1953-07-02,13,1976,1989,7,2,Venezuela
Antonio Jose,1978-04-29,9,1999,2008,4,29,Venezuela
Charles Anthony,1880-08-30,2,1905,1907,8,30,USA
Edison Rosanda,1948-07-04,4,1973,1977,7,4,Bahamas
Harry Gregory,1882-03-20,0,1906,1906,3,20,USA
Orville Martin,1908-03-02,0,1934,1934,3,2,USA
Rogelio,1994-06-30,0,2019,2019,6,30,Cuba
William Reginald,1869-09-03,NA,NA,NA,9,3,USA
Robert Livingston,1850-07-04,0,1871,1871,7,4,USA
Noble George,1924-06-03,0,1946,1946,6,3,USA
Howard Elmer,1889-12-02,0,1911,1911,12,2,USA
Jack William,1965-03-07,6,1988,1994,3,7,USA
Michael Dennis,1954-03-07,7,1980,1987,3,7,USA
Shawn Michael,1990-09-11,4,2015,2019,9,11,USA
Harry John,1879-02-12,5,1902,1907,2,12,USA
Larry Wayne,1963-02-25,0,1989,1989,2,25,USA
Willis S.,1851-03-02,0,1872,1872,3,2,USA
Christopher Paul,1947-11-06,5,1971,1976,11,6,USA
James Lee,1974-03-24,1,1999,2000,3,24,USA
Scott Gentry,1962-08-18,0,1988,1988,8,18,USA
Tony Dale,1959-05-03,1,1986,1987,5,3,USA
Morris,1910-11-16,10,1936,1946,11,16,USA
Bradley James,1963-08-20,6,1986,1992,8,20,USA
Orie Edgar,1909-10-18,0,1943,1943,10,18,USA
Rene,1964-02-24,4,1993,1997,2,24,Cuba
Jonathan Arturo,1990-10-10,1,2015,2016,10,10,D.R.
Randy,1995-02-28,0,2019,2019,2,28,Cuba
Luis Sangel,1997-04-09,0,2019,2019,4,9,Venezuela
Jose Juan,1984-03-12,4,2008,2012,3,12,D.R.
Jacob Joseph,1986-03-06,9,2010,2019,3,6,USA
Gerald William,1941-06-12,9,1961,1970,6,12,USA
Luis Rolando,1965-07-18,4,1998,2002,7,18,Cuba
Bronson Anthony,1977-02-24,17,2000,2017,2,24,USA
Christian Israel,1995-05-30,2,2017,2019,5,30,USA
Fernando,1952-03-21,11,1975,1986,3,21,USA
Luis Enrique,1927-02-18,8,1955,1963,2,18,P.R.
Rudolph,1950-06-19,0,1971,1971,6,19,USA
Barbaro Erisbel,1990-03-25,0,2014,2014,3,25,Cuba
Humberto Jose,1994-01-23,0,2019,2019,1,23,Venezuela
Harry,1855-02-08,9,1875,1884,2,8,USA
John Thomas,1862-06-30,6,1882,1888,6,30,USA
Randall Carl,1962-10-20,0,1986,1986,10,20,USA
James Marion,1914-06-22,0,1938,1938,6,22,USA
Robert Anthony,1909-06-19,4,1928,1932,6,19,USA
Jose Eleazar,1985-05-02,4,2007,2011,5,2,Venezuela
Cody James,1990-06-30,4,2013,2017,6,30,USA
Miguel,1980-09-29,4,2002,2006,9,29,D.R.
Don Richard,1927-03-19,14,1948,1962,3,19,USA
Alan Dean,1951-07-08,16,1973,1989,7,8,USA
Andrew Jason,1967-07-11,13,1991,2004,7,11,USA
Alec Edward,1991-10-04,3,2015,2018,10,4,USA
Thomas Steven,1954-12-04,8,1976,1984,12,4,USA
Kenneth Lowther,1901-09-16,5,1925,1930,9,16,USA
Billy Manual,1970-07-11,6,1992,1998,7,11,USA
Nevin Robert,1984-08-14,0,2015,2015,8,14,USA
Thomas William,1878-09-26,0,1907,1907,9,26,USA
Robert Thomas,1938-06-19,15,1956,1971,6,19,USA
Kenneth Joseph,1931-09-22,6,1957,1963,9,22,USA
Brian Hanly,1953-09-23,5,1976,1981,9,23,USA
Paul Andre,1960-12-10,13,1986,1999,12,10,USA
Ezequiel F.,1979-11-04,1,2005,2006,11,4,D.R.
Pedro Julio,1968-11-28,14,1992,2006,11,28,D.R.
Barrett,1991-10-22,0,2017,2017,10,22,USA
Joseph Henry,1922-09-01,11,1945,1956,9,1,USA
Willians Jose,1991-10-14,1,2018,2019,10,14,Venezuela
Carlos A.,1991-11-02,2,2016,2018,11,2,Venezuela
Scott Barham,1976-03-29,11,2004,2015,3,29,USA
Justin Scott,1973-09-05,0,2001,2001,9,5,USA
Charles Morgan Herbert,1873-11-19,0,1899,1899,11,19,USA
Keith Rowe,1959-02-19,6,1983,1989,2,19,USA
Luis A.,1985-05-10,0,2010,2010,5,10,P.R.
Albert Wright,1861-03-09,3,1884,1887,3,9,USA
William Cecil Glenn,1954-10-04,3,1976,1979,10,4,CAN
Garrett Bernard,1979-12-12,7,2003,2010,12,12,USA
James Curtis,1921-03-10,2,1950,1952,3,10,USA
Hubert Burley,1904-06-04,0,1927,1927,6,4,USA
Mitchell Shane,1985-10-01,2,2009,2011,10,1,USA
Francis Montgomery,1887-12-09,1,1909,1910,12,9,USA
Richard Gilbert,1897-04-08,1,1926,1927,4,8,USA
Maurice Dailey,1924-03-08,4,1952,1956,3,8,USA
William Franklin,1911-09-25,4,1936,1940,9,25,USA
Jacob Henry,1879-07-01,7,1902,1909,7,1,USA
Harry Herbert,1881-07-05,0,1903,1903,7,5,USA
Robert Michael,1982-04-15,1,2008,2009,4,15,USA
Derek Alfred,1970-03-27,0,1996,1996,3,27,CAN
Richard Thomas,1971-07-13,3,1993,1996,7,13,USA
Frederick Steven,1950-02-15,10,1971,1981,2,15,USA
Bryan Christopher,1986-07-11,2,2009,2011,7,11,USA
David Ralph,1949-11-28,1,1973,1974,11,28,USA
Donald Glenn,1963-07-03,3,1988,1991,7,3,USA
Gerald Lee,1952-07-24,9,1975,1984,7,24,USA
Elden LeRoy,1910-09-21,9,1933,1942,9,21,USA
Leycester Doyle,1920-12-28,0,1947,1947,12,28,USA
Douglas Reagan,1950-03-09,4,1976,1980,3,9,USA
Phillippe,1989-01-07,3,2012,2015,1,7,CAN
Richard Santo,1971-09-02,14,1995,2009,9,2,USA
Joseph John,1965-12-09,1,1994,1995,12,9,USA
Bradley David,1969-04-14,17,1993,2010,4,14,USA
Dennis Kay,1940-11-25,1,1965,1966,11,25,USA
Jeffrey Wellington,1976-10-19,2,2001,2003,10,19,USA
James Philip,1879-12-08,20,1909,1929,12,8,United Kingdom
James Parker,1963-12-07,2,1991,1993,12,7,USA
Rick Gerald,1946-10-27,6,1970,1976,10,27,USA
Christopher Tyler,1991-09-06,3,2016,2019,9,6,USA
Albert,1952-02-29,0,1976,1976,2,29,USA
William Askew,1885-01-02,2,1907,1909,1,2,USA
Martin Gordon,1903-03-05,6,1924,1930,3,5,USA
Abiatal,1995-02-14,1,2018,2019,2,14,D.R.
David Bruce,1972-03-04,5,1997,2002,3,4,USA
Howard Earl,1902-05-21,12,1929,1941,5,21,USA
Earl Douglas,1931-09-09,7,1956,1963,9,9,USA
Steven Thomas,1970-04-14,13,1990,2003,4,14,USA
Xavier Tyrone,1990-01-01,0,2012,2012,1,1,USA
Alexander Thomas,1987-01-29,10,2009,2019,1,29,USA
Roberto Francisco,1924-04-02,10,1949,1959,4,2,Mexico
Luis Armando,1989-07-19,7,2012,2019,7,19,Venezuela
Pedro Manuel,1997-01-14,0,2019,2019,1,14,Venezuela
Michael Anthony,1981-03-13,9,2008,2017,3,13,USA
Ramon Antonio,1952-01-22,4,1977,1981,1,22,P.R.
James Epherium,1920-07-06,0,1950,1950,7,6,USA
Dylan Davis Haines,1985-07-30,4,2011,2015,7,30,USA
John Berton,1983-04-01,9,2009,2018,4,1,CAN
Benigno,1951-02-07,11,1974,1985,2,7,P.R.
Robert Joseph,1969-07-08,7,1992,1999,7,8,USA
Luis Ignacio,1978-01-12,10,2003,2013,1,12,Mexico
Erick Johan,1984-01-14,11,2006,2017,1,14,D.R.
Manuel Antonio,1972-05-04,8,1997,2005,5,4,D.R.
Willy Del Jesus,1983-03-09,5,2005,2010,3,9,D.R.
Jacob Stuart,1861-07-06,2,1884,1886,7,6,USA
William Oscar,1919-09-27,0,1947,1947,9,27,USA
Yancey Wyatt,1891-05-21,8,1913,1921,5,21,USA
Richard John,1925-06-04,0,1953,1953,6,4,USA
Robert Cunningham,1966-04-27,1,1992,1993,4,27,USA
Joseph Allen,1971-10-08,0,1996,1996,10,8,USA
Jose Joaquin,1939-08-18,12,1960,1972,8,18,Cuba
Oscar Gregorio,1965-02-21,2,1990,1992,2,21,Venezuela
Charles Amos,1873-02-20,2,1903,1905,2,20,USA
Robert Ernest,1949-08-25,2,1979,1981,8,25,USA
Loren Rolland,1928-01-11,1,1952,1953,1,11,USA
John Charles,1913-05-14,7,1934,1941,5,14,USA
Charles Percy,1895-05-04,0,1915,1915,5,4,USA
Mack Neal,1959-03-09,0,1981,1981,3,9,USA
Brandon Allen,1978-04-05,7,2002,2009,4,5,USA
Lester John,1888-03-20,1,1909,1910,3,20,USA
Walter Wayne,1959-09-22,13,1980,1993,9,22,USA
Edgar Suter,1895-04-08,0,1917,1917,4,8,USA
Michael James,1952-04-01,5,1975,1980,4,1,USA
Michael Joseph,1977-11-11,6,2001,2007,11,11,USA
Frederic John,1926-05-15,2,1953,1955,5,15,USA
Burke Heinrich,1983-02-08,7,2008,2015,2,8,USA
Arthur Herman,1886-09-21,0,1904,1904,9,21,USA
Harrison Joseph,1994-06-03,2,2017,2019,6,3,USA
Lore Verne,1888-04-27,6,1912,1918,4,27,USA
Morris Hiram,1902-12-01,1,1929,1930,12,1,USA
Edward Joseph,1907-05-15,11,1926,1937,5,15,USA
Cha-Seung,1980-05-29,4,2004,2008,5,29,South Korea
Carlos Obed,1968-11-04,15,1990,2005,11,4,P.R.
Benito,1977-05-06,0,2001,2001,5,6,D.R.
Danys G.,1977-09-10,10,2001,2011,9,10,Cuba
Ednel Javier,1992-12-01,5,2014,2019,12,1,P.R.
Jose Antonio,1953-12-31,1,1977,1978,12,31,D.R.
Kevin Richard,1967-01-10,3,1990,1993,1,10,USA
Michel,1996-01-21,0,2019,2019,1,21,Cuba
Pedro Alberys,1988-03-11,5,2014,2019,3,11,D.R.
Sandy,1993-11-25,1,2018,2019,11,25,D.R.
James Charles Jacob,1889-10-05,11,1912,1923,10,5,USA
James Charles Jacob,1916-09-08,9,1938,1947,9,8,USA
William Mallory,1895-02-24,2,1923,1925,2,24,USA
Jeffrey Robert,1968-05-27,14,1991,2005,5,27,USA
Stanley Raymond,1944-12-15,16,1966,1982,12,15,USA
Edson Garfield,1919-10-16,1,1946,1947,10,16,CAN
Grover Cleveland,1889-12-10,0,1914,1914,12,10,USA
Andrew Scott,1984-05-31,8,2009,2017,5,31,USA
William F.,1888-04-12,15,1907,1922,4,12,USA
Harry Lewis,1881-11-19,0,1911,1911,11,19,USA
Robert Sherwood,1942-10-13,16,1962,1978,10,13,USA
Philip Cory,1971-01-24,9,1993,2002,1,24,USA
Lonas Edgar,1931-04-15,13,1953,1966,4,15,USA
Frederick Middleton,1895-08-16,2,1916,1918,8,16,USA
Arthur Eugene,1893-11-25,7,1917,1924,11,25,USA
Harvey Francis,1876-11-24,1,1899,1900,11,24,USA
Howard Lee,1957-07-31,2,1981,1983,7,31,USA
David Dewitt,1986-05-03,12,2007,2019,5,3,USA
Jeffrey Todd,1978-11-19,2,2007,2009,11,19,USA
James Hopkins,1934-12-16,0,1959,1959,12,16,USA
Linwood Clifton,1869-11-22,0,1895,1895,11,22,USA
John Mark,1961-11-04,8,1984,1992,11,4,USA
Charles Roger,1970-10-03,2,1995,1997,10,3,USA
Scott Alan,1961-12-18,12,1986,1998,12,18,USA
Steven John,1942-02-12,1,1967,1968,2,12,USA
Abraham Lincoln,1895-02-12,2,1919,1921,2,12,USA
Robert Michael,1951-07-10,10,1975,1985,7,10,USA
Harold Douglas,1959-03-15,21,1980,2001,3,15,USA
Herbert Loren,1922-07-04,0,1945,1945,7,4,USA
Albert Wells,1895-06-02,2,1917,1919,6,2,USA
Robert Allen,1940-01-16,1,1962,1963,1,16,USA
Howard Douglas,1891-09-27,5,1915,1920,9,27,USA
Charles Douglas,1949-08-22,14,1976,1990,8,22,USA
Jeffrey Scot,1982-12-19,0,2008,2008,12,19,USA
Jeffrey Michael,1978-03-21,2,2004,2006,3,21,USA
Edward Enoch,1864-04-17,8,1883,1891,4,17,USA
David Lee,1945-03-05,0,1964,1964,3,5,USA
Albert Jones,1906-02-28,0,1938,1938,2,28,USA
William Presley,1911-02-22,9,1940,1949,2,22,USA
Charles,1878-07-17,0,1901,1901,7,17,USA
Charles Arthur,1856-01-15,0,1884,1884,1,15,USA
Charles Joseph,1952-12-06,3,1978,1981,12,6,USA
David Glenn,1956-11-25,0,1982,1982,11,25,USA
Delmer David,1892-05-03,2,1914,1916,5,3,USA
Douglas Lee,1961-04-03,6,1984,1990,4,3,USA
Johnnie B.,1949-06-15,18,1968,1986,6,15,USA
Earnest Gould,1875-08-08,0,1905,1905,8,8,USA
Floyd Wilton,1916-10-10,12,1943,1955,10,10,USA
John Franklin,1886-03-13,14,1908,1922,3,13,USA
Frank,1944-01-11,2,1969,1971,1,11,USA
Frank Watts,1946-10-29,4,1970,1974,10,29,USA
George F.,1857-08-20,3,1883,1886,8,20,USA
Eugene Walter,1925-06-15,8,1953,1961,6,15,USA
Howard Francis,1888-03-01,3,1912,1915,3,1,USA
Jack Edward,1950-05-04,1,1976,1977,5,4,USA
Jesse Ormond,1888-06-03,0,1911,1911,6,3,USA
Jesse,1895-03-04,0,1919,1919,3,4,USA
Jeffrey Glen,1981-06-21,10,2005,2015,6,21,Germany
John David,1981-01-20,6,2008,2014,1,20,USA
Kirtley,1869-06-24,9,1890,1899,6,24,USA
Neal Vernon,1904-04-30,0,1927,1927,4,30,USA
Norman Leslie,1862-10-14,7,1883,1890,10,14,USA
Philip,1856-09-19,3,1883,1886,9,19,USA
Scott,1970-05-18,0,1995,1995,5,18,USA
Timothy Scott,1981-09-19,10,2005,2015,9,19,USA
Steven Byrne,1956-08-30,5,1978,1983,8,30,USA
Thomas Calvin,1913-06-11,3,1935,1938,6,11,USA
Thomas Henry,1934-05-06,0,1963,1963,5,6,USA
Trace Lee,1891-11-07,0,1911,1911,11,7,USA
Gabor Paul,1972-06-20,11,1998,2009,6,20,USA
Mitchell Francis,1910-05-09,0,1938,1938,5,9,USA
John Lawrence,1950-11-24,1,1974,1975,11,24,CAN
Stephen Charles,1957-01-16,12,1981,1993,1,16,USA
Robert Rudolph,1925-08-01,0,1956,1956,8,1,USA
Rocco Dan,1981-09-25,7,2003,2010,9,25,USA
Jack Edward,1936-10-16,9,1961,1970,10,16,USA
Robert Harvey,1948-06-09,1,1975,1976,6,9,USA
David George,1938-03-30,7,1966,1973,3,30,USA
Frank DeWitt,1928-12-25,0,1953,1953,12,25,USA
Howard Edward,1900-06-03,1,1924,1925,6,3,USA
Henry Clay,1894-06-13,0,1927,1927,6,13,USA
James,1971-07-15,10,1995,2005,7,15,USA
Jeffrey Allen,1965-09-05,0,1990,1990,9,5,USA
Clarence Geoghan,1864-11-01,6,1884,1890,11,1,USA
Charles B.,1859-04-08,6,1884,1890,4,8,USA
Marcus Elmore,1863-10-29,6,1887,1893,10,29,USA
Orson Frederick,1881-11-03,0,1908,1908,11,3,USA
Reginald Conrad,1954-08-19,1,1978,1979,8,19,USA
Rickey Alan,1953-06-01,2,1975,1977,6,1,USA
John Robert,1974-05-22,10,1999,2009,5,22,USA
Michael Richard,1886-07-03,2,1911,1913,7,3,USA
Wladimir Ramon,1984-07-02,2,2007,2009,7,2,Curacao
Collin Thomas,1986-06-06,7,2008,2015,6,6,USA
Wesley Owen,1944-12-04,1,1966,1967,12,4,USA
Grant Robert,1977-12-30,14,2001,2015,12,30,Australia
Jeffrey Scott,1963-08-13,7,1987,1994,8,13,USA
Jay Scott,1960-10-06,10,1982,1992,10,6,USA
Pelham Ashby,1894-02-06,0,1928,1928,2,6,USA
Mark Alan,1949-01-31,0,1971,1971,1,31,USA
Jeffery D.,1969-04-17,0,1998,1998,4,17,USA
James Chandler,1884-02-22,1,1907,1908,2,22,USA
Cornelius,1881-04-22,6,1907,1913,4,22,USA
Noble Winfred,1897-11-30,4,1925,1929,11,30,USA
Anthony Fred,1937-11-21,0,1962,1962,11,21,USA
George Irvin,1923-08-01,8,1951,1959,8,1,USA
Harold Earl,1924-10-29,0,1948,1948,10,29,USA
David James,1891-04-20,15,1915,1930,4,20,USA
Frank Carter,1846-05-09,NA,NA,NA,5,9,USA
Frank Anthony,1993-08-10,2,2017,2019,8,10,USA
Christopher Michael,1956-02-04,8,1981,1989,2,4,USA
Salvatore Leonard,1944-02-13,15,1966,1981,2,13,USA
Jett Adam,1990-03-26,3,2015,2018,3,26,USA
Edward Norman,1952-03-22,3,1973,1976,3,22,USA
Richard Lee,1946-11-01,5,1969,1974,11,1,USA
Jeffery Todd,1964-01-15,0,1991,1991,1,15,USA
Daniel Robert,1920-05-03,4,1947,1951,5,3,USA
Michael Scott,1963-07-31,9,1986,1995,7,31,USA
William John,1874-02-26,1,1895,1896,2,26,USA
Brian Glen,1970-09-28,7,1996,2003,9,28,USA
Ernest,1931-01-31,18,1953,1971,1,31,USA
Wilborn Everett,1893-05-25,0,1915,1915,5,25,USA
George Edward,1938-09-24,4,1962,1966,9,24,USA
Joshua Charles,1982-07-18,3,2007,2010,7,18,USA
Wesley Wade,1983-11-23,0,2008,2008,11,23,USA
Willie Anthony,1969-02-27,11,1991,2002,2,27,USA
Alan,1951-09-03,11,1974,1985,9,3,USA
Brian Patrick,1981-02-28,4,2006,2010,2,28,USA
Floyd Franklin,1955-06-10,15,1977,1992,6,10,USA
James M.,1865-06-11,1,1888,1889,6,11,USA
James Henry,1871-05-05,3,1893,1896,5,5,USA
Thomas Edward,1869-05-08,1,1895,1896,5,8,USA
Jackie Kay,1925-06-24,3,1947,1950,6,24,USA
Brandon,1987-01-07,0,2013,2013,1,7,USA
Manuel,1991-03-13,4,2015,2019,3,13,Mexico
Travis Steven,1971-12-30,0,1998,1998,12,30,USA
Rodrigo Richard,1975-09-05,13,1999,2012,9,5,USA
John Edward,1992-07-11,2,2016,2018,7,11,USA
Donald Odell,1920-06-20,0,1943,1943,6,20,USA
Walter Lawrence,1891-08-11,8,1914,1922,8,11,USA
Bret Edward,1967-08-16,5,1991,1996,8,16,USA
Brian Scott,1973-03-04,4,1995,1999,3,4,USA
David Monroe,1905-05-07,6,1926,1932,5,7,USA
Frank Frederick,1882-02-03,3,1907,1910,2,3,USA
William Joseph,1882-06-10,5,1905,1910,6,10,USA
Stephen David,1938-02-22,14,1960,1974,2,22,USA
Steven Lee,1948-03-13,1,1970,1971,3,13,USA
Tyrus Turner,1893-07-09,8,1915,1923,7,9,USA
James Patrick,1941-09-15,0,1966,1966,9,15,USA
Lorenzo Antonio,1977-08-10,2,2000,2002,8,10,D.R.
Curtis Cordell,1931-08-22,2,1957,1959,8,22,USA
George Oliver,1876-05-16,3,1902,1905,5,16,USA
Daniel Paul,1985-06-25,4,2009,2013,6,25,USA
Brian David,1981-04-02,3,2007,2010,4,2,USA
Joshua David,1978-03-30,9,2002,2011,3,30,USA
Luke Francis,1990-11-13,1,2018,2019,11,13,USA
Raymond Douglas,1949-04-15,5,1972,1977,4,15,USA
Jesse Lee,1959-10-29,11,1981,1992,10,29,USA
John David,1964-10-15,2,1989,1991,10,15,USA
Joshua LaRoy,1982-12-17,3,2006,2009,12,17,Venezuela
Clyde Raymond,1891-07-08,4,1922,1926,7,8,USA
Greg Robert,1959-01-27,3,1983,1986,1,27,USA
Eros Bolivar,1885-05-18,9,1906,1915,5,18,USA
Brian Stuart,1968-08-26,0,1995,1995,8,26,USA
Alfred L.,1839-01-18,0,1871,1871,1,18,USA
Andrew Jon,1974-09-05,0,2001,2001,9,5,USA
Glen F.,1971-05-10,2,1999,2001,5,10,USA
Kevin Stewart,1975-07-26,10,1999,2009,7,26,USA
Leonard Harold,1955-07-07,11,1976,1987,7,7,USA
Raymond Herrell,1936-03-12,7,1960,1967,3,12,USA
Richard Frank,1972-10-29,0,1999,1999,10,29,USA
Sean Reed,1980-05-26,0,2007,2007,5,26,USA
Brian Edward,1975-12-08,0,1998,1998,12,8,USA
Jeffrey Carver,1959-11-21,1,1984,1985,11,21,USA
John Duncan,1912-09-19,6,1937,1943,9,19,USA
Samuel W.,1858-05-24,5,1884,1889,5,24,USA
Albert Joseph,1915-04-02,NA,NA,NA,4,2,USA
Michael Roswell,1948-04-30,6,1975,1981,4,30,USA
Scott A.,1992-12-18,1,2018,2019,12,18,USA
Bruce Raymond,1929-10-23,0,1953,1953,10,23,USA
Clint Harold,1979-03-06,12,2003,2015,3,6,USA
Herbert Paul,1915-03-02,6,1937,1943,3,2,USA
Charles Edward,1900-06-12,1,1927,1928,6,12,USA
Austin Scott,1989-12-28,4,2015,2019,12,28,USA
William Horace,1858-04-13,0,1884,1884,4,13,USA
Robert Avery,1902-01-06,0,1924,1924,1,6,USA
Brian Keith,1967-03-25,4,1990,1994,3,25,USA
Brandon Michael,1986-05-15,6,2012,2018,5,15,USA
Darwin James Kunane,1985-11-08,7,2010,2017,11,8,USA
Daniel J.,1989-10-21,2,2016,2018,10,21,USA
Edmund J.,1890-01-23,1,1915,1916,1,23,USA
Everett Duane,1900-12-01,1,1923,1924,12,1,USA
Frank Samuel,1900-01-09,1,1929,1930,1,9,USA
Frank,1926-08-26,3,1957,1960,8,26,USA
John Francis,1900-01-31,0,1926,1926,1,31,USA
Jacob Andrew,1990-04-14,3,2016,2019,4,14,USA
Jesse Lawrence,1892-08-26,12,1915,1927,8,26,USA
John Delbert,1976-04-24,1,2000,2001,4,24,USA
Junie Shoaf,1911-12-01,0,1934,1934,12,1,USA
Larry Richard,1974-07-23,2,2001,2003,7,23,USA
Luther Owens,1947-04-28,1,1972,1973,4,28,USA
Matthew D.,1990-06-17,5,2014,2019,6,17,USA
Emile Deering,1903-12-25,3,1927,1930,12,25,USA
Rex Edward,1924-12-19,7,1943,1950,12,19,USA
Richard Monroe,1959-07-21,1,1982,1983,7,21,USA
Charles Roscoe,1850-05-08,10,1871,1881,5,8,USA
Samuel Thomas,1899-12-18,0,1921,1921,12,18,USA
Scott Michael,1987-09-05,1,2012,2013,9,5,USA
William Henry,1957-03-03,11,1983,1994,3,3,USA
Anthony Lee,1983-11-09,3,2016,2019,11,9,USA
Virgil Jennings,1897-03-05,9,1919,1928,3,5,USA
Clyde Lee,1895-12-29,8,1920,1928,12,29,USA
Edgar Vernon,1904-09-16,0,1924,1924,9,16,USA
Leslie Earl,1905-02-23,2,1928,1930,2,23,USA
Tucker Jackson,1991-01-07,5,2014,2019,1,7,USA
Victor Dee,1922-09-01,2,1944,1946,9,1,USA
William Harrison,1853-01-26,12,1874,1886,1,26,USA
George Bernard,1917-08-26,2,1939,1941,8,26,USA
Edward Anthony,1943-08-23,1,1965,1966,8,23,USA
Christopher Edward,1979-03-01,0,2006,2006,3,1,USA
Salome,1957-06-16,6,1982,1988,6,16,Mexico
Daniel Edward,1983-04-24,0,2007,2007,4,24,USA
Richard Anthony,1932-10-13,0,1960,1960,10,13,USA
Steven Phillip,1990-12-07,4,2015,2019,12,7,USA
Facundo Anthony,1932-06-20,2,1961,1963,6,20,USA
German,1956-10-19,3,1979,1982,10,19,Mexico
Kyle David,1990-05-23,4,2015,2019,5,23,USA
Robert Alexander,1908-03-12,0,1935,1935,3,12,USA
Aaron James,1988-01-02,5,2014,2019,1,2,USA
William Joseph,1900-05-28,9,1921,1930,5,28,USA
Robert Schley,1899-01-27,6,1923,1929,1,27,USA
Tracy Souter,1906-09-28,12,1933,1945,9,28,USA
Francis Joseph,1913-07-01,11,1939,1950,7,1,USA
Franklin Jose,1996-02-27,2,2017,2019,2,27,Venezuela
Jake Dalton,1991-07-22,3,2016,2019,7,22,USA
James Erigena,1875-03-28,9,1899,1908,3,28,USA
John Joseph,1915-12-18,4,1942,1946,12,18,USA
Martin Glenn,1958-06-23,9,1982,1991,6,23,USA
Michael Patrick,1976-10-22,11,1998,2009,10,22,USA
Charles Henry,1915-02-14,12,1937,1949,2,14,USA
Timothy Wayne,1961-01-24,0,1988,1988,1,24,USA
Thomas Loren,1960-04-02,4,1988,1992,4,2,USA
Felipe Jesus,1994-09-15,0,2019,2019,9,15,USA
Francisco Javier,1953-06-10,7,1974,1981,6,10,Mexico
Jaime Jonathan,1996-07-18,1,2018,2019,7,18,Panama
Jose Manuel,1957-06-26,0,1982,1982,6,26,USA
Manuel Antonio,1974-09-21,1,1997,1998,9,21,Panama
Yhonathan,1991-12-01,0,2015,2015,12,1,Colombia
James Leland,1948-02-10,12,1971,1983,2,10,USA
Roland,1883-10-20,3,1909,1912,10,20,USA
Edward Grant,1868-05-10,NA,NA,NA,5,10,USA
Franklin Lee,1844-10-22,0,1871,1871,10,22,USA
Frank John,1890-08-06,0,1914,1914,8,6,USA
David Irenus,1900-06-21,0,1929,1929,6,21,USA
Anthony Dirk,1966-08-17,1,1996,1997,8,17,USA
Hyder Edward,1886-10-06,1,1908,1909,10,6,USA
Steven Charles,1951-09-08,2,1974,1976,9,8,USA
Edward,1882-10-02,2,1905,1907,10,2,USA
Hardin,1891-03-26,0,1912,1912,3,26,USA
John Joseph,1887-04-26,11,1908,1919,4,26,USA
Jeffrey Finas,1969-09-22,4,1995,1999,9,22,USA
Kevin Thomas,1978-08-18,1,2006,2007,8,18,USA
Richard Donovan,1940-09-12,0,1969,1969,9,12,USA
John C.,1878-10-27,9,1899,1908,10,27,USA
Thomas Arthur,1879-04-10,0,1904,1904,4,10,USA
Richard William,1907-11-22,19,1927,1946,11,22,USA
Kimera Anotchi,1972-07-21,5,1996,2001,7,21,USA
Robert Edward,1924-07-15,0,1944,1944,7,15,USA
James Richard,1984-01-06,0,2008,2008,1,6,USA
John Francis,1882-04-14,0,1904,1904,4,14,USA
Lester Justin,1903-04-04,4,1928,1932,4,4,USA
Anthony Joseph,1932-05-09,0,1952,1952,5,9,USA
William Jackson,1885-01-08,4,1903,1907,1,8,USA
Boyd Owen,1920-02-11,0,1943,1943,2,11,USA
Henry Irving,1914-06-27,0,1938,1938,6,27,USA
Jason Alan,1979-10-30,10,2004,2014,10,30,USA
Robert Wilbur,1941-07-30,9,1965,1974,7,30,USA
Brian Deon,1982-04-25,1,2008,2009,4,25,USA
Clifford Paul,1979-09-05,1,2004,2005,9,5,USA
David Robert,1917-03-24,0,1945,1945,3,24,USA
Daric William,1985-08-16,7,2007,2014,8,16,USA
Harry Lamb,1875-01-20,0,1905,1905,1,20,USA
Shawn Edward,1963-05-14,4,1992,1996,5,14,USA
Vincent David,1908-02-01,1,1931,1932,2,1,CAN
Charles Franklin,1865-03-13,0,1890,1890,3,13,USA
Philip Joseph,1979-01-25,0,2006,2006,1,25,USA
Christopher Joseph,1978-12-06,0,2007,2007,12,6,USA
Romanus,1922-02-08,3,1948,1951,2,8,USA
Albert C.,1888-08-22,6,1912,1918,8,22,USA
Tyler Morris,1993-04-16,1,2018,2019,4,16,USA
Walter Franklin,1909-10-06,0,1936,1936,10,6,USA
Edwin Frank,1922-11-04,3,1944,1947,11,4,USA
James Blaine,1887-12-10,2,1911,1913,12,10,USA
Anthony Edward,1987-11-01,8,2011,2019,11,1,USA
Brian Michael,1982-01-06,2,2008,2010,1,6,USA
Richard William,1906-07-07,0,1939,1939,7,7,USA
William Capers,1898-12-04,0,1918,1918,12,4,USA
Charles Edwin,1863-02-09,8,1884,1892,2,9,USA
Christopher M.,1989-02-22,5,2014,2019,2,22,USA
Kevin Charles,1959-05-12,13,1982,1995,5,12,USA
John Landis,1895-06-03,14,1913,1927,6,3,USA
Norman Delaney,1939-01-21,2,1961,1963,1,21,USA
Randy William,1954-03-13,5,1977,1982,3,13,USA
Antonio Francisco,1985-09-21,8,2009,2017,9,21,D.R.
Charles A.,1858-03-02,7,1884,1891,3,2,USA
Emil,1880-01-21,3,1904,1907,1,21,USA
Joseph Edward,1898-07-11,2,1923,1925,7,11,USA
