player,birthday,yrs
Sam Mitchell,1963-09-02,13
Marcus Morris,1989-09-02,9
Markieff Morris,1989-09-02,9
Red Owens,1925-09-02,2
Gene Rhodes,1927-09-02,1
John Thompson*,1941-09-02,2
Earl Cureton,1957-09-03,12
Chris Gatling,1967-09-03,11
Brian Heaney,1946-09-03,1
Walt Kirk,1924-09-03,3
Sean Lampley,1979-09-03,2
George Lynch,1970-09-03,12
Bob Naber,1929-09-03,1
Paul Nolen,1929-09-03,1
Steve Scheffler,1967-09-03,7
Ed Stokes,1971-09-03,1
Damon Stoudamire,1973-09-03,13
Ralph Wells,1940-09-03,1
Chris Wilcox,1982-09-03,11
Kennard Winchester,1966-09-03,3
Don Ackerman,1930-09-04,1
Kevin Burleson,1979-09-04,1
Lloyd Daniels,1967-09-04,5
Tony Fuller,1958-09-04,1
J.J. Hickson,1988-09-04,8
Demetris Nichols,1984-09-04,2
Kevin Stacom,1951-09-04,6
Roger Strickland,1940-09-04,1
Ben Warley,1936-09-04,8
Jacob Wiley,1994-09-04,1
Mike Barrett,1943-09-05,3
Russell Cross,1961-09-05,1
Justin Dentmon,1985-09-05,2
Julius Keye,1946-09-05,6
Nazr Mohammed,1977-09-05,18
Ken Norman,1964-09-05,10
Dennis Scott,1968-09-05,10
Lance Stephenson,1990-09-05,9
Floyd Theard,1944-09-05,1
T.J. Warren,1993-09-05,6
Charles Williams,1943-09-05,6
Joby Wright,1950-09-05,3
Ron Boone,1946-09-06,13
Ben Goldfaden,1913-09-06,1
Anthony Goldwire,1971-09-06,8
Greg Griffin,1952-09-06,1
Joe Harris,1991-09-06,6
Shane Heal,1970-09-06,2
Alex Poythress,1993-09-06,3
Sean Singletary,1985-09-06,1
John Wall,1990-09-06,9
Gerry Ward,1941-09-06,4
Kevin Willis,1962-09-06,21
Cliff Anderson,1944-09-07,4
Mateen Cleaves,1977-09-07,6
Charlie Davis,1949-09-07,3
Ralph Davis,1938-09-07,2
Mike Grosso,1947-09-07,1
Joe Hamood,1943-09-07,1
Jack Hewson,1924-09-07,1
Demetrius Jackson,1994-09-07,3
Cheese Johnson,1957-09-07,1
Wilbert Kautz,1915-09-07,1
Toby Kimball,1942-09-07,9
Kevin Love,1988-09-07,12
Clyde Lovellette*,1929-09-07,11
Antonio McDyess,1974-09-07,15
Alfred McGuire*,1928-09-07,4
Pops Mensah-Bonsu,1983-09-07,4
John Mills,1919-09-07,1
Donovan Mitchell,1996-09-07,3
Dorie Murrey,1943-09-07,6
Bob Verga,1945-09-07,6
Perry Warbington,1952-09-07,1
Will Blalock,1983-09-08,1
Derrick Brown,1987-09-08,3
Maurice Cheeks*,1956-09-08,15
Jason Collier,1977-09-08,5
Matthew Dellavedova,1990-09-08,7
Jim Krebs,1935-09-08,7
Latrell Sprewell,1970-09-08,13
Larry Spriggs,1959-09-08,5
John Thomas,1975-09-08,5
Clarence Weatherspoon,1970-09-08,13
B.J. Armstrong,1967-09-09,11
Shane Battier,1978-09-09,13
Dairis Bertāns,1989-09-09,1
Lance Blanks,1966-09-09,3
Fran Curran,1922-09-09,2
Walter Davis,1954-09-09,15
Steve Downing,1950-09-09,2
Josh Gray,1993-09-09,2
Alvin Jones,1978-09-09,1
Warren Kidd,1970-09-09,1
Dan Majerle,1965-09-09,14
Tharon Mayes,1968-09-09,1
Luc Mbah a Moute,1986-09-09,12
Hanno Möttölä,1976-09-09,2
Stan Noszka,1920-09-09,3
Sean Rooks,1969-09-09,12
Jose Slaughter,1960-09-09,1
J.R. Smith,1985-09-09,16
Harthorne Wingo,1947-09-09,4
Stephen Zimmerman,1996-09-09,1
Harry Donovan,1926-09-10,1
Zabian Dowdell,1984-09-10,1
Matt Geiger,1969-09-10,10
Mike Glenn,1955-09-10,10
Bob Lanier*,1948-09-10,14
Ricky Ledo,1992-09-10,2
Barry Liebowitz,1945-09-10,1
Roger Mason,1980-09-10,10
Billy Reid,1957-09-10,1
Nick Shaback,1918-09-10,1
Tal Skinner,1952-09-10,2
Willie Sojourner,1948-09-10,4
Sedale Threatt,1961-09-10,14
Ray Tolbert,1958-09-10,5
Ben Wallace,1974-09-10,16
Quinndary Weatherspoon,1996-09-10,1
Jay Williams,1981-09-10,1
Ike Diogu,1983-09-11,6
Joe Hassett,1955-09-11,6
Frank Kendrick,1950-09-11,1
Shaun Livingston,1985-09-11,14
Paul McCracken,1950-09-11,3
Johnny Neumann,1951-09-11,7
Dave Newmark,1946-09-11,3
Marcus Paige,1993-09-11,1
Mark Pope,1972-09-11,6
Mike Price,1948-09-11,3
Willie Rogers,1945-09-11,1
Bob Shea,1924-09-11,1
Art Spoelstra,1932-09-11,4
Vince Taylor,1960-09-11,1
Gerald Wilkins,1963-09-11,13
Kevin Williams,1961-09-11,5
A.J. Wynder,1964-09-11,1
Darrell Allums,1958-09-12,1
John Coughran,1951-09-12,1
Terry Dehere,1971-09-12,6
Clemon Johnson,1956-09-12,10
Phil Jordon,1933-09-12,7
Vernon Maxwell,1965-09-12,13
Yao Ming*,1980-09-12,8
Zoran Planinić,1982-09-12,3
Ernie Vandeweghe,1928-09-12,6
Robert Werdann,1970-09-12,3
Whitey Bell,1932-09-13,2
Curtis Borchardt,1980-09-13,2
Jim Cleamons,1949-09-13,9
Cheick Diallo,1996-09-13,4
Brian Evans,1973-09-13,3
Gene Guarilia,1937-09-13,4
Charlie Hardnett,1938-09-13,3
Charles Hentz,1947-09-13,1
Nenê Hilário,1982-09-13,17
Anthony Jones,1962-09-13,3
Travis Knight,1974-09-13,7
John Murphy,1924-09-13,1
Willie Murrell,1941-09-13,3
Curtis Perry,1948-09-13,8
Ed Sherod,1959-09-13,1
Sean Williams,1986-09-13,4
Larry Brown*,1940-09-14,5
Jimmy Butler,1989-09-14,9
Jevon Carter,1995-09-14,2
Pete Chilcutt,1968-09-14,9
Lars Hansen,1954-09-14,1
Jared Harper,1997-09-14,1
Gary Harris,1994-09-14,6
Darrell Lockhart,1960-09-14,1
Bud Palmer,1921-09-14,3
Kenny Rollins,1923-09-14,3
Alvin Scott,1955-09-14,8
Jonathon Simmons,1989-09-14,4
George Sutor,1943-09-14,3
Reggie Williams,1986-09-14,7
Dionte Christmas,1986-09-15,1
John Comeaux,1943-09-15,1
Sherman Douglas,1966-09-15,12
Mike Dunleavy,1980-09-15,15
Bob Greacen,1947-09-15,3
Marc Iavaroni,1956-09-15,7
Jaren Jackson,1999-09-15,2
Buddy Jeannette*,1917-09-15,3
Whitey Kachan,1925-09-15,1
Keith Langford,1983-09-15,1
Pete Myers,1963-09-15,9
Wiley Peck,1957-09-15,1
Cliff Pondexter,1954-09-15,3
Josh Richardson,1993-09-15,5
Dennis Schröder,1993-09-15,7
Jason Terry,1977-09-15,19
Michael Wilson,1959-09-15,3
Elgin Baylor*,1934-09-16,14
Jaron Blossomgame,1993-09-16,1
Ron Brewer,1955-09-16,8
Greg Buckner,1976-09-16,10
Dan Dickau,1978-09-16,6
Aaron Gordon,1995-09-16,6
Charlie Hoefer,1921-09-16,2
Bob Kinney,1920-09-16,2
Bill McGill,1939-09-16,5
Nigel Williams-Goss,1994-09-16,1
Junior Bridgeman,1953-09-17,12
Al Carlson,1951-09-17,1
Lester Conner,1959-09-17,12
Phil Jackson*,1945-09-17,12
Greg Kelser,1957-09-17,6
Lonnie Kluttz,1945-09-17,1
Alfonzo McKinnie,1992-09-17,3
Doug Smith,1969-09-17,5
Rasheed Wallace,1974-09-17,16
Kermit Washington,1951-09-17,10
Bob Cluggish,1917-09-18,1
Earl Gardner,1923-09-18,1
Serge Ibaka,1989-09-18,11
Dennis Johnson*,1954-09-18,14
Harold Keeling,1963-09-18,1
Toni Kukoč,1968-09-18,13
Greg Minor,1971-09-18,5
Travis Outlaw,1984-09-18,11
Les Pugh,1922-09-18,2
Red Rocha,1923-09-18,9
Reggie Royals,1950-09-18,1
Mirza Teletović,1985-09-18,6
Jim Ard,1948-09-19,8
Raja Bell,1976-09-19,12
Tim Breaux,1970-09-19,3
J.R. Bremer,1980-09-19,2
Brandon Clarke,1996-09-19,1
Andre Dawkins,1991-09-19,1
Blaine Denning,1930-09-19,1
Tyreke Evans,1989-09-19,10
Ben Gillery,1965-09-19,1
Ken Green,1959-09-19,1
Scott Haskin,1970-09-19,1
Carl Landry,1983-09-19,9
Jack McCloskey,1925-09-19,1
CJ McCollum,1991-09-19,7
Chet McNabb,1920-09-19,1
Stan Miasek,1923-09-19,6
Jaylen Morris,1995-09-19,2
Dejounte Murray,1996-09-19,3
Barry Nelson,1949-09-19,1
Chris Silva,1996-09-19,1
Buck Sydnor,1921-09-19,1
George Tinsley,1946-09-19,2
Sidney Wicks,1949-09-19,10
Trae Young,1998-09-19,2
Kyle Anderson,1993-09-20,6
Lazaro Borrell,1972-09-20,1
Jim Johnstone,1960-09-20,1
Vernon Macklin,1986-09-20,1
Donatas Motiejūnas,1990-09-20,6
Dave Twardzik,1950-09-20,8
Matthew Aitch,1944-09-21,1
Al-Farouq Aminu,1990-09-21,10
Dick Atha,1931-09-21,2
Jim Burns,1945-09-21,1
Bruno Caboclo,1995-09-21,6
Randolph Childress,1972-09-21,2
Steve Courtin,1942-09-21,1
Bryce Drew,1974-09-21,6
Artis Gilmore*,1949-09-21,17
Jack Givens,1956-09-21,2
Hal Hale,1945-09-21,1
Manny Harris,1989-09-21,4
Rick Mahorn,1958-09-21,18
Devyn Marble,1992-09-21,2
Doug Moe,1938-09-21,5
Sidney Moncrief*,1957-09-21,11
Keith Smart,1964-09-21,1
Ron Sobie,1934-09-21,4
Larry Stewart,1968-09-21,5
Joe Strawder,1940-09-21,3
David Wear,1990-09-21,1
Travis Wear,1990-09-21,2
Al Brightman,1923-09-22,1
Bill Edwards,1971-09-22,1
Dakari Johnson,1995-09-22,1
Larry Jones,1942-09-22,8
Pace Mannion,1960-09-22,6
Red Mihalik,1916-09-22,1
Gary Trent,1974-09-22,9
Cezary Trybański,1979-09-22,2
Luther Wright,1971-09-22,1
J.J. Anderson,1960-09-23,3
Charles Beasley,1945-09-23,4
Ray Blume,1958-09-23,1
Pete Brennan,1936-09-23,1
John Collins,1997-09-23,3
Tyler Cook,1997-09-23,1
Ricky Davis,1979-09-23,12
Jim Farmer,1964-09-23,5
Brandon Jennings,1989-09-23,9
Larry Krystkowiak,1964-09-23,9
Cuonzo Martin,1971-09-23,2
Matt Mazza,1923-09-23,1
Eric Montross,1971-09-23,8
Randy Woods,1970-09-23,4
Joe Bradley,1928-09-24,1
Brad Branson,1958-09-24,2
Bobby Brown,1984-09-24,4
Kim English,1988-09-24,1
Randy Foye,1983-09-24,11
Kiwane Garris,1974-09-24,2
Drew Gooden,1981-09-24,14
Woody Grimshaw,1919-09-24,1
Jim Holstein,1930-09-24,4
Perry Jones,1991-09-24,3
Cedric Lewis,1969-09-24,1
Joe McNamee,1926-09-24,2
Jackie Moore,1932-09-24,3
Connie Norman,1953-09-24,3
Rodrick Rhodes,1973-09-24,3
Rayjon Tucker,1997-09-24,1
Morlon Wiley,1966-09-24,7
Ron Williams,1944-09-24,8
Chauncey Billups,1976-09-25,17
Carl Braun*,1927-09-25,13
E.C. Coleman,1950-09-25,6
Jimmy Darrow,1937-09-25,1
Bob McAdoo*,1951-09-25,14
Rashad McCants,1984-09-25,4
Abdel Nader,1993-09-25,3
Scottie Pippen*,1965-09-25,17
Lucius Allen,1947-09-26,10
Radisav Ćurčić,1965-09-26,1
Bob Duffy,1940-09-26,3
Mike Farmer,1936-09-26,7
Joe Holland,1925-09-26,3
Michael Kidd-Gilchrist,1993-09-26,8
Mel McGaha,1926-09-26,1
Shake Milton,1996-09-26,2
Martin Müürsepp,1974-09-26,2
John Roche,1949-09-26,8
Trevor Ruffin,1970-09-26,2
Jerry Smith,1987-09-26,1
Greg Stiemsma,1985-09-26,4
Mark Bradtke,1968-09-27,1
Norris Coleman,1961-09-27,1
David Cooke,1963-09-27,1
Kenneth Gardner,1949-09-27,1
Ed Gray,1975-09-27,2
Chris Herren,1975-09-27,2
Steve Kerr,1965-09-27,15
Anthony Morrow,1985-09-27,9
Chris Quinn,1983-09-27,6
Chuck Terry,1950-09-27,5
Monte Towe,1953-09-27,2
Christian Wood,1995-09-27,4
Khem Birch,1992-09-28,3
José Calderón,1981-09-28,14
Johnny Dawkins,1963-09-28,9
Keith Edmonson,1960-09-28,2
Juan Hernangómez,1995-09-28,4
Darius Johnson-Odom,1989-09-28,2
Randolph Mahaffey,1945-09-28,4
Caleb Martin,1995-09-28,1
Cody Martin,1995-09-28,1
Emeka Okafor,1982-09-28,10
Anderson Varejão,1982-09-28,13
Bonzi Wells,1976-09-28,10
Mitchell Wiggins,1959-09-28,6
Vic Bartolome,1948-09-29,1
Chuck Cooper*,1926-09-29,6
Kevin Durant,1988-09-29,12
Hersey Hawkins,1966-09-29,13
Darington Hobson,1987-09-29,1
Jerome Jordan,1986-09-29,2
Brad Lohaus,1964-09-29,11
Dick O'Keefe,1923-09-29,4
John Paxson,1960-09-29,11
Eddie Phillips,1961-09-29,1
Jeff Sheppard,1974-09-29,1
Art Williams,1939-09-29,8
John Drew,1954-09-30,11
Chuck Gardner,1944-09-30,1
Aaron Holiday,1996-09-30,2
Joffrey Lauvergne,1991-09-30,4
Eric Piatkowski,1970-09-30,14
Mark Randall,1967-09-30,4
Red Robbins,1944-09-30,8
Wayne Selden,1994-09-30,3
Hal Uplinger,1929-09-30,1
Jerome Whitehead,1956-09-30,11
Rubén Wolkowyski,1973-09-30,2
Chris Wright,1988-09-30,2
Daniel Gafford,1998-10-01,1
Jack Gillespie,1947-10-01,1
Alton Lister,1958-10-01,16
Art Long,1972-10-01,3
Dick Nemelka,1943-10-01,1
Tony Zeno,1957-10-01,1
Odis Allison,1949-10-02,1
Dick Barnett,1936-10-02,14
Tom Boswell,1953-10-02,6
Brian Bowen,1998-10-02,1
Primož Brezec,1979-10-02,8
Harold Brown,1923-10-02,1
Tyson Chandler,1982-10-02,19
Connie Dierking,1936-10-02,10
Matt Freije,1981-10-02,2
Brandon Goodwin,1995-10-02,2
Junior Harrington,1980-10-02,3
Joe Ingles,1987-10-02,6
Anthony Johnson,1974-10-02,13
Arvid Kramer,1956-10-02,1
Shane Larkin,1992-10-02,4
Aaron McKie,1972-10-02,13
Ken Menke,1922-10-02,1
Sam Pellom,1951-10-02,4
Ryan Robertson,1976-10-02,1
Stefano Rusconi,1968-10-02,1
John Trapp,1945-10-02,5
Aaron Williams,1971-10-02,14
Kyle Collinsworth,1991-10-03,1
Bill Davis,1920-10-03,1
Greg Foster,1968-10-03,13
Cedric Henderson,1965-10-03,1
Jonathan Isaac,1997-10-03,3
Courtney Lee,1985-10-03,12
John Mandic,1919-10-03,2
Eddie Mast,1948-10-03,3
Gary Neal,1984-10-03,7
London Perrantes,1994-10-03,1
Michael Phelps,1961-10-03,3
Theron Smith,1980-10-03,2
Jay Taylor,1967-10-03,1
Peter Thibeaux,1961-10-03,2
Carl Thomas,1969-10-03,3
Charles Thomas,1969-10-03,1
John Vallely,1948-10-03,2
Rich Yonakor,1958-10-03,1
Antonio Blakeney,1996-10-04,2
Noel Felix,1981-10-04,1
Jim Grandholm,1960-10-04,1
A.C. Green,1963-10-04,16
Steve Green,1953-10-04,4
James Jones,1980-10-04,14
Jim McElroy,1953-10-04,7
Hub Reed,1936-10-04,7
Truck Robinson,1951-10-04,11
Derrick Rose,1988-10-04,11
Norm Swanson,1930-10-04,1
Kurt Thomas,1972-10-04,18
Tate Armstrong,1955-10-05,2
Rex Chapman,1967-10-05,12
Charles Davis,1958-10-05,8
Billy DeAngelis,1946-10-05,1
Jerome Henderson,1959-10-05,2
Grant Hill*,1972-10-05,18
Aaron James,1952-10-05,5
Jeff Lebo,1966-10-05,1
Al Lujack,1920-10-05,1
John McCullough,1956-10-05,1
Kenny Natt,1958-10-05,3
Tornike Shengelia,1991-10-05,2
Adrian Smith,1936-10-05,11
Yuta Tabuse,1980-10-05,1
Dwight Waller,1945-10-05,3
Chris Whitney,1971-10-05,11
Brandan Wright,1987-10-05,10
Cody Zeller,1992-10-05,7
Quincy Acy,1990-10-06,7
Ricky Berry,1964-10-06,1
Jordan Hamilton,1990-10-06,5
Reggie Hanson,1968-10-06,1
Shaquille Harrison,1993-10-06,3
Joe Hutton,1928-10-06,2
DeMarco Johnson,1975-10-06,1
Tommy Kearns,1936-10-06,1
Wendell Ladner,1948-10-06,5
Stan McKenzie,1944-10-06,7
Carl Nicks,1958-10-06,3
Walker Russell,1982-10-06,1
Ken Spain,1946-10-06,1
Frankie Baumholtz,1918-10-07,1
Bill Ebben,1935-10-07,1
Harold Ellis,1970-10-07,3
Desmon Farmer,1981-10-07,2
Alex Groza,1926-10-07,2
Gary Hill,1941-10-07,2
Damion James,1987-10-07,4
Bob Martin,1969-10-07,2
Willie Naulls,1934-10-07,10
Ron Nelson,1946-10-07,1
A.J. Price,1986-10-07,6
Nik Stauskas,1993-10-07,5
Bob Wood,1921-10-07,1
Gary Alcorn,1936-10-08,2
Grayson Allen,1995-10-08,2
Ed Bartels,1925-10-08,2
Devontae Cacok,1996-10-08,1
Dennis Holman,1945-10-08,1
Willie Iverson,1945-10-08,1
Mangok Mathiang,1992-10-08,1
Sid Tanenbaum,1925-10-08,2
Tyson Wheeler,1975-10-08,1
Monty Williams,1971-10-08,9
Jerome Anderson,1953-10-09,2
Kenny Anderson,1970-10-09,14
Keith Booth,1974-10-09,2
Craig Brackins,1987-10-09,2
Harry Dinnel,1940-10-09,1
Juan Dixon,1978-10-09,7
Jerian Grant,1992-10-09,5
Ron Livingstone,1925-10-09,2
Darius Miles,1981-10-09,7
Arnie Risen*,1924-10-09,10
Bob Sims,1938-10-09,2
Henry Walker,1987-10-09,5
Kenny Battle,1964-10-10,4
Anthony Brown,1992-10-10,3
Reggie Carter,1957-10-10,2
Michael Carter-Williams,1991-10-10,7
Yinka Dare,1972-10-10,4
Ron Dorsey,1948-10-10,1
Rod Foster,1960-10-10,3
Don Henriksen,1929-10-10,2
Ryan Hollins,1984-10-10,10
Stanley Jackson,1970-10-10,1
Nathan Jawai,1986-10-10,2
Derrick McKey,1966-10-10,15
Joel Przybilla,1979-10-10,13
Don Smith,1951-10-10,1
Mike Tobey,1994-10-10,1
Gus Williams,1953-10-10,11
Randy Breuer,1960-10-11,11
Mike Conley,1987-10-11,13
Lee Davis,1945-10-11,8
Bob Donham,1926-10-11,4
Kenny Green,1964-10-11,2
Darrall Imhoff,1938-10-11,12
Keldon Johnson,1999-10-11,1
Desmond Mason,1977-10-11,10
Norm Nixon,1955-10-11,10
Cherokee Parks,1972-10-11,9
Larry Staverman,1936-10-11,5
Salim Stoudamire,1982-10-11,3
Jordan Williams,1990-10-11,1
Kevin Brooks,1969-10-12,3
Leon Brown,1919-10-12,1
Maurice Carter,1976-10-12,1
Nate Driggers,1973-10-12,1
Gary Garland,1957-10-12,1
Marko Jarić,1978-10-12,7
Jack Marin,1944-10-12,11
Justin Robinson,1997-10-12,1
Charlie Ward,1970-10-12,11
Voise Winters,1962-10-12,1
Moses Brown,1999-10-13,1
Nat Clifton*,1922-10-13,8
Norris Cole,1988-10-13,6
Derek Harper,1961-10-13,16
Ed Kalafat,1932-10-13,3
Jermaine O'Neal,1978-10-13,18
Charlie Parsley,1925-10-13,1
Paul Pierce,1977-10-13,19
Doc Rivers,1961-10-13,13
Chris Smith,1987-10-13,1
Reggie Theus,1957-10-13,13
Yuta Watanabe,1994-10-13,2
Zeke Zawoluk,1930-10-13,3
P.J. Brown,1969-10-14,15
Skip Harlicka,1946-10-14,1
Jim Jackson,1970-10-14,14
Horace Jenkins,1974-10-14,1
Wesley Matthews,1986-10-14,11
Dave Schellhase,1944-10-14,2
Dwayne Schintzius,1968-10-14,8
DeJuan Wheat,1973-10-14,2
Matt Williams,1993-10-14,1
Ray Williams,1954-10-14,10
Arron Afflalo,1985-10-15,11
Ron Anderson,1958-10-15,10
Mickey Dillard,1958-10-15,1
Steve Harris,1963-10-15,5
Fred Hoiberg,1972-10-15,10
Richaun Holmes,1993-10-15,5
Dominique Jones,1988-10-15,3
Tom Patterson,1948-10-15,2
Mike Peplowski,1970-10-15,3
Jakob Poeltl,1995-10-15,4
Bob Royer,1927-10-15,1
Paul Ruffner,1948-10-15,5
Mark Wade,1965-10-15,2
Alan Anderson,1982-10-16,8
Manute Bol,1962-10-16,10
Alonzo Bradley,1953-10-16,3
Mel Counts,1941-10-16,12
Dave DeBusschere*,1940-10-16,12
Jerry Dover,1949-10-16,1
Billy Garrett,1994-10-16,1
John Mengelt,1949-10-16,10
Roger Phegley,1956-10-16,6
Roy Pugh,1922-10-16,1
Mike Sojourner,1953-10-16,3
Tom Tolbert,1965-10-16,7
Michael Wiley,1957-10-16,2
Stephen Wilson,1948-10-16,2
Ike Anigbogu,1998-10-17,2
Mike Bratz,1955-10-17,9
Jeffrey Congdon,1943-10-17,5
Joe Courtney,1969-10-17,4
Danny Ferry,1966-10-17,13
Rubén Garcés,1973-10-17,1
Jay Humphries,1962-10-17,11
Steve Jones,1942-10-17,9
James Lang,1983-10-17,1
Bill Mayfield,1957-10-17,1
Tom Piotrowski,1960-10-17,1
Vincent Poirier,1993-10-17,1
Art Spector,1920-10-17,4
Robert Williams,1997-10-17,2
Anthony Avent,1969-10-18,6
Kenny Dennard,1958-10-18,3
Terry Furlow,1954-10-18,4
John Johnson,1947-10-18,12
Terance Mann,1996-10-18,1
Alvin Sims,1974-10-18,1
Mike Barr,1950-10-19,5
Joe Bryant,1954-10-19,8
Brad Daugherty,1965-10-19,8
William Franklin,1949-10-19,3
Lionel Hollins,1953-10-19,10
Brian Howard,1967-10-19,2
Howie Janotta,1924-10-19,1
Mindaugas Kuzminskas,1989-10-19,2
Bill Melchionni,1944-10-19,9
Lonnie Shelton,1955-10-19,10
Jim Thomas,1960-10-19,4
Luke Witte,1950-10-19,3
Devin Durrant,1960-10-20,2
Scott English,1950-10-20,3
Bobby Fields,1949-10-20,1
Ronald Franz,1945-10-20,6
Jerald Honeycutt,1974-10-20,2
Rodney Hood,1992-10-20,6
Eddie Jones,1971-10-20,14
Dominic McGuire,1985-10-20,6
Ed Mikan,1925-10-20,6
Kevinn Pinkney,1983-10-20,1
Lawrence Roberts,1982-10-20,2
Kyle Wiltjer,1992-10-20,1
Kyle Alexander,1996-10-21,1
Jeff Cook,1956-10-21,8
Johnny Davis,1955-10-21,10
Rich Eichhorst,1933-10-21,1
Gene Englund,1917-10-21,1
Festus Ezeli,1989-10-21,3
Billy Hassett,1921-10-21,2
Herm Klotz,1921-10-21,1
Damion Lee,1992-10-21,3
Carlton McKinney,1964-10-21,2
Vern Mikkelsen*,1928-10-21,10
Ricky Rubio,1990-10-21,9
Courtney Sims,1983-10-21,2
Everette Stephens,1966-10-21,2
James White,1982-10-21,3
Shelden Williams,1983-10-21,6
Tony Bobbitt,1979-10-22,1
Mike Butler,1946-10-22,4
Mark Crow,1954-10-22,1
Kornél Dávid,1971-10-22,3
Dion Glover,1978-10-22,6
Slater Martin*,1925-10-22,11
Jeff McInnis,1974-10-22,11
Bob McNeill,1938-10-22,2
Anthony Miller,1971-10-22,8
Jannero Pargo,1979-10-22,11
Dražen Petrović*,1964-10-22,4
Cheikh Samb,1984-10-22,2
Willie Warren,1989-10-22,1
John Wetzel,1944-10-22,7
Jordan Crawford,1988-10-23,6
Lynn Greer,1979-10-23,1
Elie Okobo,1997-10-23,2
Walter Palmer,1968-10-23,2
Brian Rowsom,1965-10-23,3
Art Stolkey,1920-10-23,1
Keith Van Horn,1975-10-23,9
Jaylen Brown,1996-10-24,4
Jeremy Evans,1987-10-24,7
R.J. Hunter,1993-10-24,4
Doug Lee,1964-10-24,3
Garrison Mathews,1996-10-24,1
Peyton Siva,1990-10-24,1
Nikola Vučević,1990-10-24,9
Zelmo Beaty*,1939-10-25,12
Jack Cotton,1924-10-25,1
Dave Cowens*,1948-10-25,11
PJ Dozier,1996-10-25,3
Devin Green,1982-10-25,1
William Howard,1993-10-25,1
Dan Issel*,1948-10-25,15
Romeo Langford,1999-10-25,1
Patrick McCaw,1995-10-25,4
José Ortiz,1963-10-25,2
Chandler Parsons,1988-10-25,9
Gene Phillips,1948-10-25,2
Al Roges,1930-10-25,2
Carl Shaeffer,1924-10-25,2
Garret Siler,1986-10-25,1
Mike Sweetney,1982-10-25,4
Andrea Bargnani,1985-10-26,10
Darel Carrier,1940-10-26,6
Howard Carter,1961-10-26,2
Nick Collison,1980-10-26,14
Dick Dickey,1926-10-26,1
Monta Ellis,1985-10-26,12
Frido Frey,1921-10-26,1
Joe Fulks*,1921-10-26,8
Hot Rod Hundley,1934-10-26,6
Ralph Jackson,1962-10-26,1
Darryl Johnson,1965-10-26,1
Sergey Karasev,1993-10-26,3
Joe Meriweather,1953-10-26,10
Tom Meschery,1938-10-26,10
Erik Murphy,1990-10-26,1
Ralph Polson,1929-10-26,1
Walker Russell,1960-10-26,6
Willie Smith,1953-10-26,4
John Williams,1966-10-26,8
Othell Wilson,1961-10-26,2
Lonzo Ball,1997-10-27,3
Andrew Bynum,1987-10-27,8
Rick Carlisle,1959-10-27,5
Predrag Drobnjak,1975-10-27,4
Richard Fisher,1948-10-27,1
Mike Gibson,1960-10-27,2
Stewart Granger,1961-10-27,3
Jaren Jackson,1967-10-27,12
Yi Jianlian,1987-10-27,5
Marcus Liberty,1968-10-27,4
Rex Morgan,1948-10-27,2
Tim Quarterman,1994-10-27,2
Jerry Rook,1943-10-27,1
Tom Scheffler,1954-10-27,1
Evan Turner,1988-10-27,10
Clinton Wheeler,1959-10-27,2
Lou Williams,1986-10-27,15
Justin Wright-Foreman,1997-10-27,1
Dave Budd,1938-10-28,5
John Coker,1971-10-28,3
Dwight Davis,1949-10-28,5
Devin Ebanks,1989-10-28,3
Treveon Graham,1993-10-28,4
Andrés Guibert,1968-10-28,2
Aaron Harrison,1994-10-28,3
Andrew Harrison,1994-10-28,3
Michael Hawkins,1972-10-28,4
Jarrett Jack,1983-10-28,13
Amal McCaskill,1973-10-28,4
Jerrod Mustaf,1969-10-28,4
Richard Parks,1943-10-28,1
Rich Peek,1943-10-28,1
Butch van Breda Kolff,1922-10-28,4
Brant Weidner,1960-10-28,1
Lenny Wilkens*,1937-10-28,15
Randy Wittman,1959-10-28,9
Rawle Alkins,1997-10-29,1
Doug Bolstorff,1931-10-29,1
Evan Fournier,1992-10-29,8
Dick Garmaker,1932-10-29,6
Dick Holub,1921-10-29,1
Sherwin Raiken,1928-10-29,1
McKinley Singleton,1961-10-29,1
John Stroud,1957-10-29,1
Danny Vranes,1958-10-29,7
Devin Booker,1996-10-30,5
Alex Bradley,1959-10-30,1
George Brown,1935-10-30,1
Phil Chenier,1950-10-30,10
Glen Combs,1946-10-30,7
Tom Copa,1964-10-30,1
John Duren,1958-10-30,3
Jarell Eddie,1991-10-30,3
Kevin Edwards,1965-10-30,11
Pétur Guðmundsson,1958-10-30,4
J.R. Henderson,1976-10-30,1
Monk Meineke,1930-10-30,5
George Peeples,1943-10-30,6
Ryan Reid,1986-10-30,1
Kareem Rush,1980-10-30,7
Tomáš Satoranský,1991-10-30,4
Keith Swagerty,1945-10-30,2
Maurice Taylor,1976-10-30,9
Terry Tyler,1956-10-30,11
Cole Aldrich,1988-10-31,8
Antonio Davis,1968-10-31,13
Milton Doyle,1993-10-31,1
Blue Edwards,1965-10-31,10
Alphonso Ford,1971-10-31,2
Steven Hunter,1981-10-31,8
Luke Jackson,1941-10-31,8
Yvon Joseph,1957-10-31,1
John Lucas,1953-10-31,14
Jack Molinas,1931-10-31,1
Andre Owens,1980-10-31,2
Clifford Rozier,1972-10-31,4
Gary Alexander,1969-11-01,1
Don Anielak,1930-11-01,1
Curly Armstrong,1918-11-01,3
Joe Caldwell,1941-11-01,11
